,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459531.9020139,114.0992096,39.4348509,2,19.72102928161621,0.10951799899339676,59531.402013900224
2,2459529.9086806,114.0991853,39.4348635,2,19.763099670410156,0.14162400364875793,59529.408680600114
3,2459529.8905903,114.0992441,39.4348333,1,19.76140022277832,0.15449799597263336,59529.39059029985
4,2459526.996956,114.0992248,39.4348168,2,19.528200149536133,0.10781899839639664,59526.496956000105
5,2459526.9518287,114.0992252,39.4348198,1,19.77899932861328,0.13593199849128723,59526.451828700025
6,2459525.0160069,114.0992185,39.4347965,1,19.67180061340332,0.10639800131320953,59524.5160069
7,2459524.9489005,114.0991905,39.4348082,2,19.51490020751953,0.07693400233983994,59524.44890049985
8,2459522.9545486,114.0992233,39.4347961,1,19.583499908447266,0.0956759974360466,59522.45454860013
9,2459522.8421296,114.0991859,39.4348376,2,19.52429962158203,0.12272600084543228,59522.34212959977
10,2459518.9989352,114.0992039,39.4348336,2,19.73270034790039,0.12211699783802032,59518.49893519981
11,2459518.8714815,114.0991324,39.434815,1,19.757699966430664,0.138837993144989,59518.3714815001
