,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459540.7021644,342.963038,27.6211512,2,19.427209854125977,0.14818599820137024,59540.2021643999
1,2459537.8029514,342.962853,27.6211223,2,19.39900016784668,0.22007399797439575,59537.30295140017
4,2459531.6314699,342.9629262,27.6210568,2,19.714099884033203,0.21659299731254578,59531.13146989979
5,2459529.7512731,342.9629629,27.6211622,1,19.791000366210938,0.14675000309944153,59529.2512730998
6,2459529.694838,342.9629252,27.6211032,2,19.75040054321289,0.1554500013589859,59529.194837999996
7,2459526.7159259,342.9629259,27.6210811,1,19.92930030822754,0.11768700182437897,59526.2159258998
8,2459526.663287,342.9629152,27.6210866,2,19.9778995513916,0.16983599960803986,59526.1632869998
9,2459524.7271065,342.9629349,27.6211809,2,20.149900436401367,0.16846199333667755,59524.22710649995
10,2459524.6522106,342.9629121,27.6211337,1,20.234500885009766,0.1647540032863617,59524.15221060021
11,2459522.7395486,342.9628884,27.6211189,1,20.632999420166016,0.1960889995098114,59522.23954859981
12,2459522.6733912,342.9629735,27.6211276,2,20.350500106811523,0.18353599309921265,59522.17339120014
