,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461008.8280787,40.2549819,24.8795628,2,20.11290168762207,0.20857587456703186,61008.32807870023
1,2461006.8266319,40.254944,24.8795693,1,20.179100036621094,0.23375500738620758,61006.32663189992
2,2461006.6888889,40.2548428,24.8796314,2,19.884199142456055,0.18314200639724731,61006.18888889998
3,2461004.7218866,40.2547797,24.8796202,2,20.015899658203125,0.1721709966659546,61004.2218865999
4,2461004.7044097,40.254765,24.8795695,1,20.348800659179688,0.19192199409008026,61004.20440969989
5,2460992.7499653,40.2548052,24.8795281,1,20.191099166870117,0.2786889970302582,60992.24996529985
7,2460990.7632755,40.2549429,24.8796637,2,19.898099899291992,0.21955600380897522,60990.26327549992
8,2460990.716088,40.2549127,24.8796073,1,20.273399353027344,0.19417400658130646,60990.21608800022
9,2460988.8066319,40.254861,24.879664,2,20.019399642944336,0.17565299570560455,60988.306631899904
10,2460988.7039699,40.254942,24.8795975,1,20.21109962463379,0.28300899267196655,60988.20396990003
11,2460986.8876736,40.2548962,24.8795953,2,19.84079933166504,0.2484540045261383,60986.38767360011
13,2460983.814537,40.2548955,24.8796975,2,19.62350082397461,0.19475199282169342,60983.31453699991
14,2460983.7831597,40.2550037,24.8796025,1,19.657800674438477,0.2045159935951233,60983.28315970022
15,2460981.8191667,40.2548876,24.8797207,2,20.03339958190918,0.17131400108337402,60981.31916669989
16,2460981.7327894,40.2549984,24.8796619,1,19.90559959411621,0.22916699945926666,60981.232789400034
17,2460979.9097454,40.2548182,24.8796628,2,19.92770004272461,0.15094800293445587,60979.40974539984
18,2460979.8623264,40.2548774,24.879633,1,20.143400192260742,0.18903499841690063,60979.36232639989
19,2460977.7778472,40.2547786,24.8795792,1,20.00320053100586,0.1280909925699234,60977.27784720017
20,2460975.8861111,40.2547244,24.8797004,2,19.80120086669922,0.1383650004863739,60975.386111100204
21,2460975.7790278,40.2548204,24.8796014,1,20.07029914855957,0.17437399923801422,60975.279027800076
22,2460973.8591435,40.2548681,24.8796056,1,20.093799591064453,0.15132500231266022,60973.359143500216
23,2460973.7567361,40.2548254,24.8796476,2,20.10409927368164,0.18061700463294983,60973.256736100186
24,2460970.903912,40.2547991,24.8796384,2,19.86079978942871,0.11820399761199951,60970.40391199989
26,2460968.8381713,40.2548092,24.8796187,2,19.901599884033203,0.1508769989013672,60968.33817130001
28,2460966.8871991,40.2548368,24.879628,2,19.842899322509766,0.14922599494457245,60966.38719910011
29,2460966.7739236,40.2547715,24.8795645,1,20.259700775146484,0.17632299661636353,60966.27392360009
30,2460961.8847801,40.2548918,24.8796687,2,19.664600372314453,0.10706599801778793,60961.38478010008
31,2460961.7583912,40.2548912,24.879639,1,20.020999908447266,0.22220799326896667,60961.2583912001
32,2460959.9133449,40.2549831,24.8796412,1,19.83009910583496,0.20475399494171143,60959.413344900124
36,2460953.906713,40.2549385,24.8796571,2,19.82550048828125,0.15470600128173828,60953.40671300003
37,2460953.847963,40.2550284,24.8796256,1,19.84589958190918,0.257656991481781,60953.34796300018
38,2460951.9028125,40.2548475,24.8795997,1,20.19569969177246,0.1611659973859787,60951.40281250002
39,2460949.9001042,40.2548502,24.879628,1,20.073699951171875,0.19343499839305878,60949.4001042
40,2460949.8188773,40.2548124,24.8796989,2,19.802600860595703,0.12896700203418732,60949.31887729978
41,2460943.9900231,40.2548577,24.8796549,2,19.862499237060547,0.14578799903392792,60943.49002309982
42,2460943.9196759,40.2548309,24.8796007,1,19.899700164794922,0.16340899467468262,60943.419675900135
43,2460941.9028819,40.2548667,24.8796442,1,19.98270034790039,0.17973899841308594,60941.40288189985
44,2460938.9679398,40.2548384,24.8796122,1,19.960399627685547,0.13585799932479858,60938.46793980012
45,2460938.939375,40.254871,24.8796497,2,19.840599060058594,0.13688799738883972,60938.439375000075
46,2460934.9899769,40.2548638,24.8796815,2,19.7731990814209,0.1294579952955246,60934.489976900164
47,2460934.879456,40.2548774,24.8795983,1,19.909700393676758,0.12842699885368347,60934.37945599994
48,2460932.9876968,40.2548583,24.8796643,2,19.73390007019043,0.16122399270534515,60932.487696799915
49,2460932.9009491,40.2549639,24.8796411,1,19.74959945678711,0.15036000311374664,60932.40094910003
51,2460928.9265162,40.2550334,24.8796811,1,19.615699768066406,0.22387699782848358,60928.42651619995
52,2460926.9795949,40.2549873,24.8796376,2,19.669700622558594,0.2129880040884018,60926.47959489981
54,2460924.0228588,40.2549064,24.8795804,2,19.701400756835938,0.15467700362205505,60923.5228587999
55,2460919.879838,40.2548106,24.8796746,2,19.82819938659668,0.13259999454021454,60919.37983800005
56,2460917.9038426,40.2547431,24.8795657,1,19.990999221801758,0.20513500273227692,60917.40384260006
57,2460917.8636343,40.2547991,24.8796477,2,19.632999420166016,0.1452759951353073,60917.36363429995
60,2460911.9346991,40.2548212,24.879635,2,19.710800170898438,0.12876099348068237,60911.43469909998
61,2460911.9002546,40.2548367,24.8796052,1,19.880300521850586,0.18490399420261383,60911.400254600216
63,2460909.8907292,40.25481,24.8796833,2,19.870800018310547,0.15115199983119965,60909.390729200095
64,2460904.9832407,40.2548157,24.8796224,1,19.905399322509766,0.1626559942960739,60904.48324069986
65,2460904.879537,40.2548593,24.8796294,2,19.76609992980957,0.17457999289035797,60904.379536999855
66,2460900.9637731,40.2549949,24.8795958,1,20.028099060058594,0.33841198682785034,60900.46377310017
67,2460900.9236806,40.2549526,24.8795997,2,19.62929916381836,0.1526319980621338,60900.42368059978
