,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459537.044919,182.0217786,-5.2690478,2,19.582250595092773,0.1779090017080307,59536.54491900001
3,2459537.0375347,182.0218262,-5.2689953,2,19.43709945678711,0.23027199506759644,59536.537534699775
4,2459537.0350694,182.0217472,-5.2689656,2,19.638200759887695,0.2449450045824051,59536.53506939998
5,2459531.048831,182.0217919,-5.2691537,2,18.929399490356445,0.23442800343036652,59530.54883099999
6,2459531.0464699,182.0218256,-5.2688951,2,19.3843994140625,0.25298699736595154,59530.546469899826
7,2459531.0441088,182.0217745,-5.2690761,2,19.11750030517578,0.19021399319171906,59530.544108800124
10,2459530.0480556,182.021562,-5.2688893,2,19.237600326538086,0.20769700407981873,59529.54805559991
11,2459530.0456713,182.0220442,-5.2692913,2,19.02869987487793,0.2509619891643524,59529.54567130003
13,2459530.0432755,182.0217394,-5.2691044,2,19.364900588989258,0.17295700311660767,59529.54327550018
15,2459529.0520023,182.0217835,-5.2689761,2,19.205299377441406,0.1757420003414154,59528.55200230004
16,2459529.0496065,182.0217848,-5.2689599,2,19.453699111938477,0.24328400194644928,59528.54960650019
17,2459529.0472106,182.0217552,-5.2689746,2,19.26609992980957,0.2169640064239502,59528.54721060023
18,2459528.0519097,182.0218218,-5.2690228,2,19.199100494384766,0.17752200365066528,59527.551909700036
20,2459528.0470255,182.021786,-5.2689856,2,19.197900772094727,0.1519709974527359,59527.547025499865
21,2459528.0445718,182.0217704,-5.2689863,2,19.2637996673584,0.13586899638175964,59527.54457180016
22,2459527.0521644,182.0217782,-5.2690078,2,19.212600708007812,0.212008997797966,59526.5521644
23,2459527.0497222,182.0217639,-5.269038,2,19.25429916381836,0.17023800313472748,59526.549722199794
24,2459527.0472685,182.0218036,-5.2690761,2,19.286800384521484,0.15832200646400452,59526.547268500086
25,2459527.0448264,182.0217957,-5.2689925,2,18.99570083618164,0.13715499639511108,59526.5448264
27,2459526.0525231,182.0217723,-5.2692235,2,19.18779945373535,0.28177300095558167,59525.55252309982
29,2459526.0476273,182.0218112,-5.2690378,2,19.16990089416504,0.1661520004272461,59525.547627300024
30,2459526.0451852,182.021765,-5.2690606,2,19.405899047851562,0.22312800586223602,59525.54518519994
