,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459640.885625,158.0370574,54.2406423,2,19.025949478149414,0.0991630032658577,59640.38562500011
1,2459640.8511111,158.0370262,54.2406308,1,19.88610076904297,0.14649400115013123,59640.351111100055
2,2459638.9102315,158.0370205,54.2406926,1,19.61829948425293,0.13939300179481506,59638.41023149993
3,2459638.8916782,158.0370391,54.2406296,2,19.056100845336914,0.0914200022816658,59638.3916782001
4,2459636.7409375,158.0370453,54.2406033,1,19.430700302124023,0.10153999924659729,59636.240937499795
5,2459629.9161921,158.0371175,54.2406244,1,18.57830047607422,0.09724400192499161,59629.41619209992
6,2459629.8465046,158.0370731,54.2406715,2,18.627099990844727,0.0814879983663559,59629.34650459979
7,2459627.954213,158.0370264,54.2406186,1,18.53380012512207,0.13621899485588074,59627.4542129999
8,2459627.8534838,158.0369724,54.2405968,2,18.39579963684082,0.1346909999847412,59627.353483799845
9,2459624.8638542,158.0370416,54.2406236,2,18.411500930786133,0.07400500029325485,59624.36385420011
10,2459624.7686921,158.0369998,54.2406351,1,18.27829933166504,0.06925699859857559,59624.268692099955
11,2459623.0061921,158.0371023,54.2406273,1,18.206600189208984,0.05623500049114227,59622.50619209977
12,2459622.8735301,158.0370478,54.2406181,2,18.307600021362305,0.05999400094151497,59622.3735301001
