,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459703.7828704,150.0334731,26.4606773,2,19.747169494628906,0.1963070034980774,59703.28287040023
1,2459703.769375,150.0333143,26.4607893,1,19.975099563598633,0.196834996342659,59703.26937500015
2,2459701.7035648,150.0334122,26.4607035,2,19.787799835205078,0.15286900103092194,59701.20356479986
4,2459699.701956,150.0334085,26.4607197,1,19.716899871826172,0.1606059968471527,59699.20195600018
5,2459699.6805208,150.0334016,26.4607178,2,19.439899444580078,0.10804499685764313,59699.18052079994
6,2459696.7480208,150.0334045,26.4607014,2,19.6742000579834,0.14783599972724915,59696.24802079983
7,2459694.7598843,150.0333562,26.4607678,1,19.538400650024414,0.1323940008878708,59694.259884300176
8,2459694.6709144,150.033319,26.4606855,2,19.587600708007812,0.16329799592494965,59694.1709143999
9,2459690.766331,150.0333324,26.4607052,1,19.521299362182617,0.1432570070028305,59690.26633099979
11,2459688.8312847,150.0333454,26.4606923,2,19.326799392700195,0.23874600231647491,59688.33128469996
12,2459688.6726157,150.0333443,26.4607291,1,19.517499923706055,0.11036799848079681,59688.172615699936
13,2459685.8210648,150.0333668,26.4606829,1,19.319799423217773,0.32495999336242676,59685.321064800024
14,2459685.7466898,150.0332973,26.460751,2,19.341999053955078,0.1871670037508011,59685.24668980017
15,2459683.7779282,150.0332235,26.4606825,1,19.35740089416504,0.19397400319576263,59683.277928200085
16,2459683.743206,150.0333539,26.4606838,2,19.33060073852539,0.231330007314682,59683.243205999956
17,2459678.8098264,150.0333196,26.4606695,1,19.100799560546875,0.12497899681329727,59678.30982640013
18,2459678.737037,150.0333218,26.4606866,2,19.06599998474121,0.10383299738168716,59678.23703699978
19,2459676.8432986,150.0334555,26.4607064,2,18.904699325561523,0.154122993350029,59676.343298600055
20,2459676.8113773,150.0333502,26.4607118,1,19.091899871826172,0.15502700209617615,59676.31137729995
21,2459674.8639352,150.0333449,26.4606733,1,19.138700485229492,0.12338099628686905,59674.36393520003
22,2459674.8068287,150.0333384,26.4607152,2,19.140199661254883,0.08822199702262878,59674.306828700006
23,2459671.9051968,150.033343,26.4607096,1,19.013399124145508,0.12363900244235992,59671.4051967999
24,2459671.9051968,150.0333404,26.460706,1,19.00909996032715,0.12895500659942627,59671.4051967999
25,2459671.8259606,150.0333769,26.4607338,2,18.961999893188477,0.08384200185537338,59671.32596059982
26,2459671.8259606,150.0333792,26.4607371,2,18.997699737548828,0.08604499697685242,59671.32596059982
27,2459640.8817824,150.0333673,26.4607578,2,19.777790069580078,0.13779999315738678,59640.381782399956
28,2459640.8559259,150.0333303,26.4606619,1,19.723400115966797,0.12433099746704102,59640.35592589993
32,2459636.735162,150.0334079,26.4607229,1,20.343700408935547,0.1973090022802353,59636.23516200017
