,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459683.9095718,268.8435011,44.850561,2,19.626890182495117,0.17673300206661224,59683.409571799915
1,2459679.9740972,268.8435354,44.8505663,2,19.339599609375,0.13498300313949585,59679.474097200204
2,2459679.7989699,268.8435217,44.8506134,1,19.769899368286133,0.22229500114917755,59679.29896989977
3,2459677.9697454,268.8435272,44.8505406,1,19.74799919128418,0.13953499495983124,59677.469745399896
4,2459677.9317014,268.8435814,44.8505444,2,19.295400619506836,0.12652699649333954,59677.43170139985
5,2459675.9740625,268.8434791,44.8505179,1,19.565099716186523,0.12047900259494781,59675.474062500056
6,2459675.9331944,268.8434676,44.8505388,2,19.32979965209961,0.16024300456047058,59675.43319439981
7,2459673.9265046,268.8434733,44.8505856,1,19.546499252319336,0.1388700008392334,59673.42650459986
8,2459673.868912,268.8434745,44.8505461,2,19.23390007019043,0.164669007062912,59673.36891200021
9,2459670.9904514,268.8434828,44.8505583,1,19.442699432373047,0.0889350026845932,59670.49045140017
10,2459670.8884491,268.8435149,44.8505696,2,19.01569938659668,0.12807199358940125,59670.388449099846
