,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459742.7622685,164.1662637,67.1806811,2,19.023090362548828,0.17603999376296997,59742.26226849994
1,2459740.7627083,164.1659277,67.1806863,1,19.7052001953125,0.20870399475097656,59740.26270829979
2,2459740.7007523,164.166259,67.1807023,2,19.06209945678711,0.1141669973731041,59740.20075230021
3,2459738.741088,164.1661155,67.1807087,2,18.904199600219727,0.09801500290632248,59738.241088000126
5,2459733.7352315,164.1661404,67.1806938,2,18.787399291992188,0.09516700357198715,59733.23523150012
6,2459731.7877778,164.1661779,67.1807012,2,18.77899932861328,0.10739400237798691,59731.28777780011
7,2459731.7198495,164.1659608,67.1807045,1,19.469900131225586,0.14917899668216705,59731.219849499874
8,2459726.8053125,164.1661485,67.1806976,1,19.541000366210938,0.12336999922990799,59726.30531249987
9,2459726.700544,164.166126,67.1806918,2,18.452199935913086,0.07545600086450577,59726.20054400014
10,2459724.8269444,164.1660494,67.1807373,1,19.266399383544922,0.10629300028085709,59724.32694440009
11,2459724.7622338,164.1661514,67.1807064,2,18.331899642944336,0.08229900151491165,59724.26223379979
12,2459722.7870023,164.1662193,67.1806611,1,19.21619987487793,0.1146010011434555,59722.28700229991
13,2459722.7870023,164.1662193,67.1806611,1,19.216230392456055,0.1146010011434555,59722.28700229991
14,2459719.7431944,164.1661151,67.1806737,2,18.0137996673584,0.0669030025601387,59719.24319439987
15,2459719.6866782,164.1661155,67.1806912,2,18.01580047607422,0.06380300223827362,59719.18667820003
16,2459715.7650694,164.1660184,67.1806528,1,18.845300674438477,0.11536599695682526,59715.26506939996
17,2459713.7626273,164.166082,67.1806909,2,17.777799606323242,0.05763699859380722,59713.262627299875
18,2459713.6853819,164.1660623,67.1806902,1,18.66189956665039,0.1070920005440712,59713.18538190005
19,2459711.7666782,164.1661832,67.1806708,2,17.754899978637695,0.0620339997112751,59711.2666782001
20,2459711.6835417,164.1659978,67.1807348,1,18.3799991607666,0.07809299975633621,59711.18354169978
21,2459709.7682176,164.1661414,67.1806966,2,17.72130012512207,0.05177599936723709,59709.26821759995
22,2459709.67875,164.1661185,67.1806851,2,17.701400756835938,0.04373599961400032,59709.17874999996
23,2459707.6929514,164.1661308,67.1806754,2,17.63800048828125,0.049685999751091,59707.19295139983
24,2459707.6775926,164.1660946,67.1806775,2,17.674999237060547,0.04803000018000603,59707.17759260023
25,2459701.8669676,164.1660868,67.1806926,1,17.475500106811523,0.05291999876499176,59701.36696759984
26,2459701.8025926,164.1660919,67.1806671,1,17.5177001953125,0.04101699963212013,59701.30259260023
27,2459699.8857639,164.16613,67.1806925,1,17.320499420166016,0.04763000085949898,59699.38576389989
28,2459699.7791898,164.166121,67.1806918,2,17.337600708007812,0.045781999826431274,59699.27918979991
29,2459697.8058912,164.1661333,67.1806927,2,17.19339942932129,0.03999999910593033,59697.30589119997
30,2459697.7230903,164.1661103,67.1806951,1,17.161800384521484,0.03764199838042259,59697.22309029987
31,2459695.7410764,164.1661032,67.1806953,2,17.042200088500977,0.05130099877715111,59695.24107640004
32,2459693.7847685,164.1661243,67.1806958,2,16.9778995513916,0.037300001829862595,59693.2847684999
33,2459693.7368634,164.1661174,67.1806683,1,16.910600662231445,0.037363000214099884,59693.236863399856
34,2459689.8044907,164.166132,67.1806485,1,16.824399948120117,0.04177900031208992,59689.3044906999
35,2459687.861412,164.1660973,67.1807017,2,16.94300079345703,0.0465800017118454,59687.36141199991
36,2459684.8462384,164.166133,67.1806966,2,17.070499420166016,0.043480001389980316,59684.346238399856
37,2459684.76125,164.1660898,67.1806827,1,16.947200775146484,0.035590000450611115,59684.26124999998
38,2459680.8419792,164.1661285,67.1806983,2,17.477399826049805,0.04805999994277954,59680.34197920002
39,2459678.8283333,164.1661398,67.1806781,1,17.783000946044922,0.04852300137281418,59678.32833330007
40,2459678.7442824,164.1661146,67.1807106,2,17.874799728393555,0.0628189966082573,59678.24428239977
41,2459676.871875,164.166125,67.1807024,2,18.325300216674805,0.10091300308704376,59676.371875000186
42,2459676.8025926,164.1661134,67.1806603,1,18.30579948425293,0.07186900079250336,59676.30259260023
43,2459674.9553356,164.1661729,67.1807571,2,19.094999313354492,0.12545500695705414,59674.455335599836
44,2459674.9130787,164.1661416,67.1807153,1,19.013200759887695,0.10408099740743637,59674.41307870019
