,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459701.6934259,135.9268795,-4.0978992,2,19.552570343017578,0.13484300673007965,59701.19342589984
1,2459699.6991319,135.9267949,-4.0979376,1,19.89900016784668,0.19534699618816376,59699.19913189998
2,2459696.6700926,135.9268611,-4.0979276,1,19.739500045776367,0.1603280007839203,59696.17009259993
3,2459696.6625926,135.9268075,-4.0978854,2,19.310699462890625,0.1158830001950264,59696.1625926001
5,2459694.6615741,135.9268334,-4.0978674,2,19.200000762939453,0.13974100351333618,59694.161574100144
6,2459690.7701042,135.9268118,-4.097885,1,19.00480079650879,0.14010199904441833,59690.27010420011
7,2459688.6744907,135.9268282,-4.097864,1,19.025699615478516,0.1105709969997406,59688.17449070001
8,2459685.7157292,135.926748,-4.0978728,2,18.86870002746582,0.13084900379180908,59685.215729199816
9,2459685.6571296,135.9267236,-4.0978451,1,18.61870002746582,0.11076100170612335,59685.15712960018
10,2459682.6726157,135.9267573,-4.0978823,1,18.829599380493164,0.15256600081920624,59682.172615699936
12,2459677.7488657,135.927051,-4.0977405,1,19.00309944152832,0.1670829951763153,59677.24886569986
13,2459677.666875,135.9268033,-4.097883,2,19.186599731445312,0.1311669945716858,59677.16687500011
14,2459675.693588,135.9267955,-4.0978901,2,19.451200485229492,0.140297994017601,59675.19358799979
15,2459675.6503472,135.9268612,-4.0978415,1,19.5403995513916,0.1555120050907135,59675.15034720022
