,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459751.8796644,207.6070262,68.5550676,2,19.088539123535156,0.1161469966173172,59751.37966440013
5,2459747.7408333,207.6069854,68.5550291,2,19.110300064086914,0.07934299856424332,59747.240833300166
7,2459742.7841204,207.6068528,68.5550653,2,18.91119956970215,0.150177001953125,59742.28412039997
9,2459740.8292593,207.6070301,68.5550437,2,18.87540054321289,0.11150500178337097,59740.32925930014
10,2459738.7592014,207.6070595,68.5550233,2,18.937400817871094,0.10538999736309052,59738.25920139998
13,2459736.7048148,207.6070126,68.5550547,2,18.925600051879883,0.08891700208187103,59736.20481480006
15,2459732.7670602,207.6069919,68.5550357,1,20.00629997253418,0.16415999829769135,59732.26706020022
16,2459732.7003356,207.6071023,68.5550362,2,18.781200408935547,0.07374799996614456,59732.20033559995
18,2459726.8871412,207.6069656,68.5550448,2,18.78230094909668,0.08623400330543518,59726.38714119978
19,2459726.8096991,207.6069507,68.5549741,1,19.875999450683594,0.16827799379825592,59726.30969909998
20,2459724.9087731,207.6069128,68.5550666,2,18.86829948425293,0.0972289964556694,59724.4087731
21,2459724.8669676,207.6070408,68.5549686,1,19.806900024414062,0.18222099542617798,59724.36696759984
24,2459719.8286111,207.6071636,68.5550292,2,18.632999420166016,0.1146479994058609,59719.32861110009
25,2459719.7825231,207.6069875,68.5550442,2,18.714500427246094,0.08100400120019913,59719.2825230998
26,2459717.7417477,207.607024,68.5550279,2,18.788799285888672,0.08339399844408035,59717.24174770014
27,2459714.7208912,207.607011,68.5550384,2,18.62339973449707,0.09224399924278259,59714.220891200006
28,2459712.8692245,207.6070626,68.5550197,2,18.566099166870117,0.08279699832201004,59712.36922449991
29,2459712.7765046,207.6071059,68.5550455,1,19.55340003967285,0.19910700619220734,59712.276504599955
31,2459710.7599884,207.6067719,68.5550941,2,18.56089973449707,0.12933699786663055,59710.259988400154
32,2459708.8014236,207.6070737,68.5549817,2,18.582000732421875,0.10785499960184097,59708.30142359994
33,2459708.7872222,207.6070375,68.5550347,2,18.695499420166016,0.10085500031709671,59708.28722220007
34,2459702.8677431,207.6070785,68.5550108,2,18.474599838256836,0.0748009979724884,59702.36774310004
35,2459702.8102546,207.6070684,68.5550453,1,19.171600341796875,0.09940200299024582,59702.3102545999
36,2459699.9547222,207.6071134,68.5550531,1,19.032899856567383,0.10273600369691849,59699.454722200055
37,2459699.841794,207.6070763,68.5550368,2,18.574199676513672,0.07584299892187119,59699.34179400001
38,2459696.7285995,207.6070736,68.5550188,1,18.934499740600586,0.09177400171756744,59696.22859949991
39,2459694.8876736,207.6070389,68.5550517,1,18.738500595092773,0.08005999773740768,59694.38767360011
40,2459694.7781019,207.6070411,68.5550361,2,18.451799392700195,0.07594499737024307,59694.27810190013
41,2459690.826713,207.6070179,68.5550347,2,18.405799865722656,0.07969199866056442,59690.32671299996
42,2459690.8051505,207.6070975,68.5550296,1,18.755399703979492,0.08165799826383591,59690.30515050003
43,2459687.9077315,207.6070809,68.5550439,2,18.285999298095703,0.07062900066375732,59687.40773149999
44,2459684.9666204,207.6070141,68.5550481,1,18.521299362182617,0.11169199645519257,59684.46662040008
45,2459684.8482523,207.607039,68.555018,2,18.321699142456055,0.07800299674272537,59684.34825230017
46,2459682.8472685,207.6070054,68.5550481,2,18.256399154663086,0.10164599865674973,59682.3472684999
47,2459682.6964468,207.6070603,68.5550259,1,18.4783992767334,0.10332199931144714,59682.19644680014
48,2459678.8887731,207.6070711,68.5550622,2,18.47450065612793,0.06301099807024002,59678.388773099985
49,2459678.8504514,207.6071062,68.5550422,1,18.625600814819336,0.06586699932813644,59678.35045140004
51,2459676.8958333,207.6071574,68.5550548,1,18.74209976196289,0.10273300111293793,59676.39583329996
