,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461054.6340741,332.5097003,39.2196939,1,18.104703903198242,0.08361271768808365,61054.13407409983
1,2461054.6181597,332.5096593,39.2197494,2,17.779699325561523,0.1089090034365654,61054.118159700185
2,2461052.6135301,332.5096526,39.2197363,1,18.148700714111328,0.10722000151872635,61052.11353009986
3,2461052.6036921,332.509661,39.2197591,2,17.83139991760254,0.07215899974107742,61052.10369209992
4,2461049.6366204,332.5096908,39.2197277,1,18.346500396728516,0.11688899993896484,61049.13662040001
5,2461049.5909491,332.5096623,39.2197884,2,17.824399948120117,0.06633099913597107,61049.09094909998
6,2461032.6559491,332.5097151,39.2197576,2,17.719600677490234,0.1605840027332306,61032.15594909992
7,2461032.6180324,332.509565,39.2197634,1,18.337499618530273,0.18879200518131256,61032.11803240003
8,2461030.6566319,332.5096728,39.2197988,2,17.838600158691406,0.04555800184607506,61030.1566319
9,2461030.6133796,332.5097236,39.2197986,1,18.24850082397461,0.07219099998474121,61030.11337959999
10,2461028.7030903,332.509674,39.2197731,2,17.797800064086914,0.04179900139570236,61028.20309029985
11,2461028.6448148,332.5096916,39.219793,1,18.23349952697754,0.07118000090122223,61028.144814800005
12,2461026.6619792,332.5097061,39.2197987,1,18.21769905090332,0.08293099701404572,61026.16197919985
13,2461026.6005556,332.5096902,39.2197975,2,17.841999053955078,0.07120099663734436,61026.10055560013
14,2461024.6456019,332.5097005,39.2198054,2,17.77400016784668,0.054214999079704285,61024.14560189983
15,2460807.9485301,332.5096688,39.2196791,1,18.66354751586914,0.18577082455158234,60807.44853009982
16,2460807.9024306,332.5096371,39.2197378,2,18.135900497436523,0.10814899951219559,60807.40243060002
17,2460805.9522222,332.5096618,39.2197695,1,18.68160057067871,0.09979800134897232,60805.45222220011
18,2460805.933588,332.509714,39.2198322,2,18.162700653076172,0.08502999693155289,60805.433588000014
19,2460802.9931019,332.509748,39.219775,2,18.19930076599121,0.06532900035381317,60802.49310189998
20,2460797.9984954,332.509745,39.2198525,1,18.5939998626709,0.14587900042533875,60797.49849539995
21,2460797.9284491,332.5097515,39.2197897,2,18.13290023803711,0.07200700044631958,60797.42844909988
22,2460795.929838,332.5098088,39.2197748,2,18.046600341796875,0.0690850019454956,60795.429837999865
24,2460655.627662,332.5097109,39.2197088,1,19.056140899658203,0.20382285118103027,60655.12766199978
25,2460653.6556134,332.5096871,39.2197545,1,19.046899795532227,0.12451600283384323,60653.15561340004
26,2460653.6195949,332.5097074,39.2197926,2,18.74880027770996,0.07964099943637848,60653.11959489994
27,2460651.6994097,332.5095925,39.2197508,1,19.105100631713867,0.1362989991903305,60651.1994097
28,2460651.6239468,332.5096791,39.219793,2,18.5846004486084,0.07977200299501419,60651.1239467999
29,2460649.7188194,332.5096318,39.2197997,2,18.56800079345703,0.08831100165843964,60649.21881939983
30,2460647.6229861,332.5096729,39.2198012,1,19.214500427246094,0.12325199693441391,60647.12298610015
31,2460647.597338,332.5097132,39.2197853,2,18.69409942626953,0.07623200118541718,60647.09733799985
33,2460643.6809375,332.5097009,39.2197695,2,18.63010025024414,0.06665699928998947,60643.180937500205
34,2460643.6339005,332.5096776,39.2197561,1,19.061500549316406,0.12723399698734283,60643.1339004999
35,2460639.6835995,332.5097057,39.2198176,2,18.482099533081055,0.06473000347614288,60639.183599499986
36,2460639.6351852,332.5096514,39.219799,1,18.968399047851562,0.15205800533294678,60639.13518519979
38,2460636.7241088,332.5096934,39.219794,2,18.393199920654297,0.07468800246715546,60636.224108799826
39,2460634.6402662,332.5096908,39.2197924,1,18.968900680541992,0.09937600046396255,60634.14026620006
40,2460634.6214699,332.5096842,39.2198036,2,18.490699768066406,0.0908380001783371,60634.12146990001
41,2460629.680787,332.5097179,39.2197561,1,18.951099395751953,0.1739480048418045,60629.180786999874
42,2460629.6554051,332.5096926,39.2198059,2,18.454200744628906,0.0681300014257431,60629.15540509997
43,2460627.7434491,332.5096783,39.2198117,2,18.442399978637695,0.09713999927043915,60627.24344909983
44,2460627.6798264,332.5097127,39.2196887,1,19.0039005279541,0.1758590042591095,60627.17982639978
45,2460625.6728241,332.5097196,39.2197808,1,19.11039924621582,0.15363100171089172,60625.172824100126
46,2460625.6640162,332.5096707,39.2198157,2,18.523799896240234,0.0632530003786087,60625.16401620023
47,2460623.6304745,332.5096915,39.2197986,2,18.44729995727539,0.06833399832248688,60623.13047449989
48,2460621.6523727,332.5096809,39.2197532,1,18.88629913330078,0.10390999913215637,60621.15237270016
50,2460614.8688773,332.5096487,39.2197495,1,18.956600189208984,0.1185699999332428,60614.36887730006
51,2460614.7022801,332.5097027,39.2197875,2,18.47450065612793,0.06092600151896477,60614.20228009997
52,2460609.6803356,332.5097144,39.2197872,1,18.868900299072266,0.08753199875354767,60609.18033559993
