,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459740.8381944,251.7659767,16.4666251,2,20.21013069152832,0.20419999957084656,59740.33819440007
2,2459738.791169,251.7660127,16.4666528,2,20.16819953918457,0.16737300157546997,59738.29116899986
3,2459736.8510764,251.7660163,16.4666215,2,20.340599060058594,0.1919180005788803,59736.35107639991
8,2459732.8845139,251.7659861,16.4665961,2,20.15089988708496,0.1633940041065216,59732.38451390015
9,2459730.9018981,251.765996,16.4666735,2,20.1476993560791,0.16406799852848053,59730.40189810004
10,2459730.86,251.7659117,16.4666075,1,21.20680046081543,0.28503501415252686,59730.35999999987
11,2459727.833588,251.7659029,16.4666424,2,20.329599380493164,0.35925599932670593,59727.33358799992
12,2459725.8936458,251.7659921,16.4666678,2,20.05820083618164,0.12569299340248108,59725.393645800184
15,2459723.815544,251.7660007,16.4666261,2,19.813199996948242,0.13117599487304688,59723.315543999895
16,2459721.8798727,251.7660404,16.4666656,2,19.65220069885254,0.107573002576828,59721.3798727002
17,2459721.833044,251.7660255,16.4666459,2,19.824199676513672,0.12297400087118149,59721.33304399997
18,2459718.8801273,251.7660275,16.4666889,2,19.657800674438477,0.1644050031900406,59718.38012730004
19,2459718.8076389,251.7659533,16.466603,2,19.51810073852539,0.13138499855995178,59718.30763889989
23,2459712.8780208,251.7660342,16.4666322,2,19.362899780273438,0.1302649974822998,59712.378020800184
24,2459710.9346644,251.7659708,16.46672,1,20.21540069580078,0.188291996717453,59710.43466439983
25,2459710.8734954,251.7660555,16.4666529,2,19.20599937438965,0.11364699900150299,59710.37349539995
26,2459708.923287,251.7660345,16.4666392,2,19.0585994720459,0.10706599801778793,59708.42328700004
27,2459708.8594097,251.7660429,16.4666633,2,19.096200942993164,0.14854300022125244,59708.35940970015
28,2459702.9448843,251.7659882,16.4666026,1,19.62350082397461,0.1152620017528534,59702.44488430023
29,2459702.8995255,251.7660017,16.4666488,2,18.98579978942871,0.07075999677181244,59702.3995254999
30,2459700.892662,251.7660129,16.4666561,2,18.96739959716797,0.06947200000286102,59700.39266199991
31,2459700.8588079,251.766008,16.4666636,1,19.428499221801758,0.09950599819421768,59700.35880789999
32,2459698.9349306,251.7659997,16.4666492,1,19.278499603271484,0.11969800293445587,59698.434930600226
33,2459698.8939931,251.7660279,16.4666506,2,18.924699783325195,0.0725490003824234,59698.39399310015
34,2459696.9435995,251.7659954,16.4666427,2,18.81049919128418,0.0704680010676384,59696.44359950023
35,2459696.8751273,251.7659896,16.4666473,1,19.090700149536133,0.0855880007147789,59696.375127300154
36,2459694.9196644,251.7659888,16.4665828,1,18.913000106811523,0.13269099593162537,59694.419664400164
37,2459690.9627778,251.7660267,16.4666323,2,18.49139976501465,0.0826599970459938,59690.46277779993
38,2459690.9209375,251.7660316,16.4666282,1,18.55579948425293,0.08908999711275101,59690.42093749996
39,2459688.8795023,251.7659978,16.4666602,2,18.44230079650879,0.06644400209188461,59688.37950230017
40,2459685.9041551,251.7660145,16.4666689,1,18.39459991455078,0.11078599840402603,59685.40415510023
41,2459685.8598727,251.7660307,16.4666436,2,18.350200653076172,0.08967199921607971,59685.35987270018
42,2459683.9565856,251.766018,16.4666593,1,18.285499572753906,0.057854000478982925,59683.45658560004
43,2459683.9032292,251.7659994,16.4666543,2,18.25149917602539,0.07020600140094757,59683.403229199816
44,2459679.883831,251.7660167,16.4666398,2,18.408199310302734,0.06129499897360802,59679.383830999956
45,2459679.8303935,251.7659893,16.4666435,1,18.258899688720703,0.07214300334453583,59679.33039350016
46,2459677.9770602,251.7660026,16.4666532,1,18.340999603271484,0.05762400105595589,59677.47706020018
47,2459677.9233912,251.7659946,16.4666515,2,18.430400848388672,0.07674700021743774,59677.42339120014
48,2459675.9233333,251.7660041,16.4666505,2,18.6643009185791,0.055629998445510864,59675.42333329981
49,2459673.92125,251.7659824,16.4666449,1,18.758800506591797,0.08808600157499313,59673.42125000013
50,2459673.8796759,251.7660168,16.466643,2,18.917200088500977,0.11001600325107574,59673.3796759001
