,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461003.6587847,284.1442181,28.5919893,2,18.74872589111328,0.158965066075325,61003.15878470009
1,2461003.5949653,284.1441301,28.5920989,1,19.45170021057129,0.15306299924850464,61003.09496530006
2,2460990.6347454,284.1441167,28.5920148,1,19.345600128173828,0.16992999613285065,60990.13474539993
3,2460990.6037153,284.1441965,28.5920274,2,18.742399215698242,0.13095100224018097,60990.103715300094
4,2460988.6934606,284.1440381,28.5921207,1,19.31130027770996,0.31449300050735474,60988.193460599985
5,2460988.604537,284.1441642,28.5920588,2,18.631799697875977,0.1048469990491867,60988.10453699995
6,2460986.6307986,284.1441606,28.59206,2,18.815500259399414,0.1699180006980896,60986.13079860015
7,2460986.5744907,284.1442247,28.5920806,1,19.68549919128418,0.2312989979982376,60986.07449069992
8,2460984.642662,284.144132,28.5921538,1,19.594499588012695,0.3393990099430084,60984.14266199991
11,2460980.6737037,284.1439671,28.5920172,1,19.542999267578125,0.23092800378799438,60980.17370369984
12,2460980.6237616,284.1441604,28.5920533,2,18.83169937133789,0.12004200369119644,60980.12376159988
13,2460978.6461574,284.1441468,28.5919718,2,18.768199920654297,0.10720299929380417,60978.14615740022
14,2460978.601713,284.1440927,28.5921473,1,19.493200302124023,0.22968800365924835,60978.101712999865
16,2460976.6106019,284.144107,28.5920106,2,18.733400344848633,0.143204003572464,60976.110601900145
17,2460974.6725231,284.1441003,28.5919738,1,19.537399291992188,0.2553490102291107,60974.17252309993
18,2460974.6320486,284.1441649,28.5920002,2,18.851499557495117,0.13469000160694122,60974.13204859989
19,2460972.6660301,284.1441516,28.5920433,2,18.656999588012695,0.10585799813270569,60972.16603010008
20,2460969.6550579,284.144145,28.5920325,1,19.53219985961914,0.17563100159168243,60969.15505790012
21,2460969.6083218,284.1441748,28.5920065,2,18.708799362182617,0.08467800170183182,60969.1083217999
22,2460967.6626389,284.144098,28.5920656,1,19.595500946044922,0.18903499841690063,60967.16263889987
23,2460967.6085185,284.1442149,28.592027,2,18.690399169921875,0.11849299818277359,60967.10851849988
24,2460965.6644907,284.1442111,28.5920339,1,19.419599533081055,0.14706799387931824,60965.16449069977
25,2460965.6091204,284.144152,28.5920206,2,18.681699752807617,0.1862040013074875,60965.10912040016
27,2460960.6452315,284.1441719,28.5920009,2,18.797300338745117,0.11103200167417526,60960.1452314998
28,2460957.6312269,284.1440687,28.5920701,1,19.427000045776367,0.1822430044412613,60957.131226900034
32,2460953.6439352,284.1441011,28.5920258,1,19.674100875854492,0.20490199327468872,60953.14393519983
33,2460950.7596181,284.1441432,28.5919771,2,18.667200088500977,0.1253100037574768,60950.25961809978
35,2460948.7361227,284.1441628,28.5920586,1,19.570100784301758,0.15632900595664978,60948.23612269992
37,2460943.7147917,284.1441698,28.5919724,2,18.78969955444336,0.22398099303245544,60943.21479169978
