,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459731.7376042,160.3168626,6.3585941,2,16.87339973449707,0.05400700122117996,59731.23760419991
1,2459731.6924306,160.3168933,6.3585788,1,16.95210075378418,0.0483970008790493,59731.19243060006
2,2459726.7192245,160.3168754,6.3585877,1,16.816600799560547,0.04236200079321861,59726.219224500004
3,2459724.7356481,160.3168548,6.3585908,2,16.826000213623047,0.044165998697280884,59724.2356480998
4,2459724.6965972,160.3168651,6.3585966,1,16.774700164794922,0.0463469997048378,59724.19659719989
5,2459722.704838,160.316875,6.3585923,1,16.77400016784668,0.043476998805999756,59722.20483799977
6,2459722.6851852,160.3168736,6.3585929,1,16.757400512695312,0.05010699853301048,59722.18518520007
7,2459718.7743634,160.3168528,6.3585851,2,16.863000869750977,0.053011998534202576,59718.27436339995
8,2459718.6819676,160.3168605,6.3585878,2,16.851999282836914,0.03826599940657616,59718.18196759978
9,2459715.7368403,160.3168667,6.3586125,1,16.815099716186523,0.038860999047756195,59715.236840299796
10,2459715.6782176,160.3168508,6.3585904,2,16.94860076904297,0.03779299929738045,59715.1782176001
11,2459713.7353009,160.3168514,6.3586091,2,17.00469970703125,0.05091100186109543,59713.23530089995
12,2459713.6720023,160.3168546,6.3586034,1,16.831499099731445,0.05705299973487854,59713.172002300154
13,2459711.755787,160.3168622,6.3585898,2,17.064199447631836,0.050151001662015915,59711.25578700006
14,2459711.6711458,160.3168554,6.3585828,1,16.875200271606445,0.045451998710632324,59711.171145800035
15,2459708.7124421,160.3168707,6.3585831,2,17.123300552368164,0.0463859997689724,59708.21244210005
16,2459708.706088,160.3168477,6.358541,2,17.166799545288086,0.06003100052475929,59708.20608799998
17,2459703.7776968,160.3168785,6.3585885,2,17.386899948120117,0.04455700144171715,59703.27769679995
18,2459701.7126273,160.3168723,6.3585724,2,17.538700103759766,0.04487700015306473,59701.21262730006
19,2459701.6862269,160.3168682,6.3585921,1,17.274599075317383,0.03859499841928482,59701.1862269002
20,2459699.713287,160.3168687,6.3585997,1,17.540300369262695,0.04665699973702431,59699.21328700008
21,2459697.7128819,160.3168708,6.3586052,1,17.90399932861328,0.05602499842643738,59697.212881899904
22,2459697.6875579,160.3168712,6.3585895,2,18.049999237060547,0.053592998534440994,59697.18755789986
23,2459695.7568634,160.3168796,6.3586384,1,18.364700317382812,0.22064700722694397,59695.256863399874
24,2459695.7135069,160.3168579,6.3585776,2,18.571699142456055,0.08895599842071533,59695.213506899774
25,2459693.7473843,160.3168733,6.3585921,1,19.210500717163086,0.12583599984645844,59693.24738429999
26,2459693.6915856,160.3169086,6.3586218,2,19.318099975585938,0.12076299637556076,59693.19158559991
