,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461193.7953472,228.2179942,2.8152897,2,19.665109634399414,0.1503058820962906,61193.295347199775
2,2461193.7062963,228.2180193,2.815377,1,19.55620002746582,0.16395099461078644,61193.20629630005
5,2461192.7152662,228.2180877,2.8153454,1,19.65019989013672,0.27627500891685486,61192.21526619978
7,2461191.7995602,228.2180205,2.815324,2,19.413400650024414,0.20005999505519867,61191.29956019996
9,2461185.839537,228.2180321,2.8153295,2,19.3080997467041,0.10272800177335739,61185.33953699982
10,2461185.8097917,228.2180589,2.8153427,1,19.182100296020508,0.10852999985218048,61185.30979169998
12,2461184.8415741,228.2179874,2.8154098,2,19.39940071105957,0.13169099390506744,61184.341574099846
13,2461184.7771644,228.2180525,2.8153774,1,19.22960090637207,0.11058700084686279,61184.27716440009
14,2461183.8790509,228.2180059,2.8153442,3,19.779699325561523,0.16034099459648132,61183.37905090023
15,2461183.8325463,228.21798,2.8153519,1,19.278400421142578,0.11272300034761429,61183.33254629979
16,2461183.7892361,228.218023,2.8153716,2,19.304500579833984,0.12640699744224548,61183.289236099925
18,2461182.7741667,228.2180603,2.8153162,2,19.443199157714844,0.12489199638366699,61182.274166699965
19,2461182.7203819,228.2179961,2.8153392,1,19.309600830078125,0.11063899844884872,61182.2203819002
21,2461181.8401852,228.2180296,2.8153473,1,19.32859992980957,0.13390100002288818,61181.340185199864
23,2461180.87,228.2179765,2.8153512,1,19.50040054321289,0.11372099816799164,61180.37000000011
26,2461179.8294792,228.2179588,2.8153713,1,19.648099899291992,0.1719069927930832,61179.329479199834
28,2461179.753912,228.2179583,2.8154007,2,19.520099639892578,0.1612289994955063,61179.253911999986
31,2461176.7501968,228.2179131,2.8152821,2,20.10099983215332,0.19422699511051178,61176.2501968001
