,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459739.9445139,322.5294518,2.0095841,2,20.46826934814453,0.1617089956998825,59739.444513900205
1,2459739.9054514,322.5294132,2.0096496,1,20.65329933166504,0.23739099502563477,59739.405451400205
2,2459737.9482176,322.5294495,2.0096367,2,20.23859977722168,0.16160400211811066,59737.44821760012
3,2459737.9228588,322.529407,2.0095684,1,20.30660057067871,0.18365800380706787,59737.42285879981
5,2459733.9256597,322.5294774,2.0096189,2,20.05590057373047,0.16174699366092682,59733.42565969983
6,2459731.9411458,322.5294828,2.0096326,2,19.986000061035156,0.15559199452400208,59731.441145800054
7,2459731.8858796,322.5295393,2.0096052,1,20.092500686645508,0.24714800715446472,59731.385879599955
8,2459727.9488426,322.5295057,2.0095968,1,19.80780029296875,0.13733500242233276,59727.44884259999
9,2459727.9139583,322.5293912,2.0096054,2,19.745899200439453,0.1498049944639206,59727.413958299905
10,2459725.9564583,322.5294624,2.0096113,1,19.69809913635254,0.11907400190830231,59725.45645829989
11,2459723.9348495,322.5294501,2.0096388,1,19.67460060119629,0.1622440069913864,59723.43484950019
12,2459720.9871412,322.5294751,2.0096527,2,19.348499298095703,0.11704599857330322,59720.487141199876
13,2459718.9559722,322.5293638,2.0096334,2,19.30699920654297,0.15160800516605377,59718.455972199794
14,2459718.9219097,322.5294759,2.0096022,2,19.252599716186523,0.17777399718761444,59718.42190970015
15,2459714.9571528,322.5294487,2.0096348,1,19.260499954223633,0.1718980073928833,59714.45715280017
16,2459714.9234259,322.5294472,2.0096452,2,19.36750030517578,0.18761099874973297,59714.42342589982
17,2459712.9065394,322.5293681,2.0096827,2,19.299299240112305,0.19414600729942322,59712.40653940011
18,2459709.9933565,322.5294296,2.0096647,2,19.08639907836914,0.1788329929113388,59709.49335649982
19,2459709.9264005,322.5294782,2.0095794,2,19.260299682617188,0.16405099630355835,59709.426400499884
20,2459707.9603125,322.5294852,2.0095158,2,19.467300415039062,0.2456810027360916,59707.46031250013
21,2459707.9225347,322.5295001,2.0095865,2,19.250900268554688,0.17254699766635895,59707.42253470002
