,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459734.9029167,271.6454082,1.610441,1,20.060510635375977,0.15712399780750275,59734.40291670011
2,2459732.8999074,271.6453235,1.6103783,1,19.705799102783203,0.14726799726486206,59732.3999073999
3,2459729.9419792,271.645388,1.6103667,2,19.41119956970215,0.17164599895477295,59729.44197920011
4,2459729.8981019,271.6453542,1.6104892,1,19.572200775146484,0.1844470053911209,59729.39810189977
5,2459726.9416088,271.6453028,1.6104118,1,19.343299865722656,0.12315800040960312,59726.44160880009
7,2459723.8974653,271.6453167,1.6103858,1,19.031200408935547,0.08586200326681137,59723.397465299815
9,2459721.8949884,271.6453494,1.6103902,2,18.756500244140625,0.0648759976029396,59721.39498839993
10,2459721.8311111,271.6453594,1.6103882,2,18.96179962158203,0.08987200260162354,59721.33111110004
12,2459718.817338,271.6453941,1.6103461,2,18.924999237060547,0.12386800348758698,59718.31733800005
14,2459714.8243403,271.645322,1.610387,1,18.928499221801758,0.1717350035905838,59714.32434030017
15,2459712.9396991,271.6453103,1.610418,1,19.24810028076172,0.15448300540447235,59712.439699099865
17,2459710.9390509,271.6453962,1.6103705,1,19.202299118041992,0.11417900025844574,59710.43905089982
18,2459710.8996759,271.6453506,1.6103942,2,19.138599395751953,0.1433420032262802,59710.39967590012
