,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459828.6637616,246.3264424,9.0204059,2,19.449182510375977,0.1737353652715683,59828.16376159992
2,2459825.656956,246.326296,9.0203512,2,19.14310073852539,0.13738299906253815,59825.15695599979
3,2459823.6941435,246.326361,9.0203593,1,20.20680046081543,0.29320400953292847,59823.19414350018
4,2459823.6576736,246.32628,9.0203465,2,19.203500747680664,0.12588800489902496,59823.15767360013
5,2459818.7149884,246.3263459,9.0203511,2,19.06290054321289,0.09601300209760666,59818.21498840023
6,2459818.7068287,246.3263145,9.0203169,1,20.183399200439453,0.22951799631118774,59818.20682869991
7,2459816.6941319,246.3263482,9.0203699,1,20.1023006439209,0.16091999411582947,59816.19413190009
8,2459812.7258449,246.3263183,9.0203384,1,19.950300216674805,0.15812499821186066,59812.225844900124
9,2459810.7074653,246.3263228,9.0203498,1,19.815799713134766,0.1633549928665161,59810.20746529987
10,2459810.6804745,246.3263461,9.0203448,2,18.859699249267578,0.09202300012111664,59810.18047450017
11,2459808.7418866,246.3262325,9.0203412,1,19.828800201416016,0.2051219940185547,59808.24188659992
12,2459808.686412,246.3263265,9.0203691,2,18.885900497436523,0.09308099746704102,59808.1864120001
13,2459806.6958333,246.3263231,9.0203367,2,18.875600814819336,0.08213700354099274,59806.195833299775
14,2459806.6825579,246.3263128,9.0203023,1,19.770000457763672,0.17825500667095184,59806.18255789997
17,2459801.6952431,246.32636,9.0203447,2,18.82040023803711,0.10465099662542343,59801.19524310017
18,2459798.7539815,246.3263157,9.020307,1,19.62980079650879,0.1954990029335022,59798.25398149993
19,2459798.7200463,246.3263231,9.0203711,2,18.81879997253418,0.10865899920463562,59798.220046299975
20,2459794.7557986,246.3263617,9.0203271,2,18.781299591064453,0.07960899919271469,59794.25579860015
21,2459794.7165625,246.3263331,9.0203346,1,19.621299743652344,0.1549610048532486,59794.21656250022
22,2459792.7683449,246.3262968,9.0203175,1,19.517900466918945,0.15771299600601196,59792.268344900105
23,2459790.7323032,246.3263472,9.0203499,2,18.777299880981445,0.07227499783039093,59790.232303199824
24,2459790.6802662,246.3263276,9.020317,1,19.638399124145508,0.14596900343894958,59790.1802662001
25,2459788.6920602,246.3262797,9.0203473,1,19.62649917602539,0.14505499601364136,59788.19206020003
26,2459786.735787,246.3263572,9.0203651,2,18.69230079650879,0.06485600024461746,59786.23578700004
27,2459786.6900579,246.3263642,9.0203423,1,19.440000534057617,0.12678299844264984,59786.1900578998
28,2459784.7903241,246.3263254,9.0203354,2,18.673200607299805,0.08338899910449982,59784.29032409983
29,2459784.7342708,246.326363,9.0203275,1,19.483800888061523,0.15057000517845154,59784.234270799905
30,2459782.7913889,246.3263972,9.0203341,1,19.421199798583984,0.14682799577713013,59782.29138890002
31,2459782.7690741,246.3263302,9.0203361,2,18.715299606323242,0.0948140025138855,59782.26907410007
32,2459779.7084375,246.3263319,9.0203567,2,18.64590072631836,0.08459699898958206,59779.208437500056
33,2459777.7119444,246.3263504,9.020341,2,18.634899139404297,0.07245200127363205,59777.21194439987
34,2459775.8168866,246.3263569,9.0203677,2,18.58930015563965,0.09001699835062027,59775.31688660011
35,2459775.7774653,246.3263532,9.0203602,2,18.665199279785156,0.09036300331354141,59775.27746530017
36,2459773.8149537,246.3263225,9.0203221,2,18.645599365234375,0.1328350007534027,59773.314953700174
37,2459773.732419,246.3263582,9.0203532,2,18.62019920349121,0.10828699916601181,59773.23241900001
38,2459771.8371296,246.3262594,9.020381,1,19.388599395751953,0.19064399600028992,59771.33712959988
39,2459771.780787,246.3262858,9.0203461,1,19.277999877929688,0.20306800305843353,59771.28078699997
40,2459769.8169444,246.3263475,9.0203498,1,19.295000076293945,0.141744002699852,59769.31694439985
41,2459769.7316667,246.3262902,9.0203908,1,19.333200454711914,0.15384599566459656,59769.23166669998
42,2459766.8106597,246.3263402,9.0203603,1,19.33340072631836,0.10424300283193588,59766.31065970007
43,2459766.7660648,246.3263305,9.0203481,2,18.61210060119629,0.0754610002040863,59766.26606479986
44,2459764.754838,246.3263401,9.0203482,2,18.558399200439453,0.06236200034618378,59764.25483800005
45,2459764.7333796,246.3263581,9.0203351,1,19.337299346923828,0.11314599961042404,59764.233379600104
46,2459762.7566898,246.3263275,9.0203433,2,18.534400939941406,0.0751279965043068,59762.25668979995
47,2459762.710081,246.3263049,9.0203298,1,19.229700088500977,0.10954699665307999,59762.21008099988
48,2459760.7539468,246.3263426,9.0203585,2,18.51799964904785,0.06787600368261337,59760.253946799785
49,2459758.7898958,246.3263466,9.0203661,2,18.50589942932129,0.07883299887180328,59758.28989579994
50,2459756.8424769,246.3263284,9.020343,2,18.462600708007812,0.06108200177550316,59756.3424769002
51,2459756.7909606,246.3263463,9.0203447,1,19.17009925842285,0.1050650030374527,59756.290960600134
