,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459765.8552778,304.4966376,-6.3000889,2,19.66042137145996,0.17844872176647186,59765.3552778
3,2459763.8382292,304.4965134,-6.2999481,2,19.876300811767578,0.29016101360321045,59763.33822919987
4,2459763.8241435,304.496597,-6.2999846,2,19.790000915527344,0.21295499801635742,59763.32414350007
5,2459761.8805556,304.496617,-6.3000369,2,18.58060073852539,0.1351349949836731,59761.38055559993
6,2459761.8767708,304.4966948,-6.3000474,2,18.80940055847168,0.2015179991722107,59761.37677079998
9,2459759.919919,304.496614,-6.2999308,1,20.40570068359375,0.21058499813079834,59759.41991900001
11,2459759.8390625,304.496556,-6.3000102,2,19.468599319458008,0.1594180017709732,59759.339062499814
12,2459759.8376042,304.4965539,-6.299991,2,19.442100524902344,0.14277200400829315,59759.3376042
14,2459757.8988542,304.4965403,-6.3000919,1,20.04400062561035,0.23559600114822388,59757.3988541998
15,2459757.8564815,304.4966146,-6.299948,1,20.364500045776367,0.3098810017108917,59757.35648149997
16,2459755.8565162,304.4965762,-6.2999878,2,19.11440086364746,0.10675100237131119,59755.35651620012
17,2459755.8389468,304.4966544,-6.3000096,2,19.327699661254883,0.14175400137901306,59755.33894680021
18,2459752.8950347,304.4966017,-6.2999797,2,19.405500411987305,0.17143499851226807,59752.39503470017
19,2459752.8945602,304.4965195,-6.3000014,2,19.068099975585938,0.10573799908161163,59752.39456020016
20,2459750.9017824,304.4965686,-6.3000236,1,19.428300857543945,0.1691260039806366,59750.401782399975
21,2459750.9008333,304.496553,-6.299861,1,19.305500030517578,0.19992700219154358,59750.40083329985
22,2459750.8768634,304.4966449,-6.3000003,2,19.003700256347656,0.14060799777507782,59750.376863399986
23,2459750.8604167,304.4965984,-6.3001189,2,19.3218994140625,0.20404799282550812,59750.36041670013
24,2459748.8974306,304.4965131,-6.2999327,1,19.248699188232422,0.16743099689483643,59748.39743060013
25,2459748.896956,304.496542,-6.3000737,1,19.14539909362793,0.1919569969177246,59748.39695600001
26,2459748.8690046,304.4965609,-6.2999379,2,19.057300567626953,0.2179030030965805,59748.369004600216
27,2459748.8680556,304.4965515,-6.3000063,2,18.984800338745117,0.160630002617836,59748.36805560021
28,2459743.9573495,304.4965395,-6.3000074,2,18.638399124145508,0.10261300206184387,59743.45734950015
29,2459743.9191551,304.4965389,-6.2999655,1,18.739900588989258,0.1237960010766983,59743.419155099895
30,2459743.8970602,304.4966115,-6.3001164,1,18.822599411010742,0.15602299571037292,59743.397060200106
31,2459743.8162269,304.4965677,-6.3000005,2,18.715999603271484,0.12787500023841858,59743.31622690009
32,2459741.9407176,304.4965741,-6.2999851,1,18.594999313354492,0.10590700060129166,59741.44071759982
33,2459741.9402546,304.4965365,-6.2999512,1,18.62929916381836,0.07705599814653397,59741.44025459979
34,2459741.8779514,304.4965833,-6.2999925,2,18.568300247192383,0.08882500231266022,59741.37795139989
35,2459741.8601157,304.4965758,-6.2999985,2,18.70490074157715,0.11674100160598755,59741.360115699936
36,2459739.9374306,304.4965742,-6.3000105,2,18.651100158691406,0.10621900111436844,59739.43743060017
37,2459739.936956,304.4965567,-6.2999877,2,18.64579963684082,0.07590900361537933,59739.43695600005
38,2459737.9420486,304.496551,-6.2999785,2,18.54450035095215,0.08413100242614746,59737.44204859994
39,2459737.9415741,304.4965861,-6.3000094,2,18.60379981994629,0.08684699982404709,59737.44157409994
40,2459737.9200231,304.4965267,-6.2999535,1,18.448200225830078,0.07931900024414062,59737.420023099985
41,2459737.9190741,304.4965859,-6.2999924,1,18.458200454711914,0.08259300142526627,59737.41907409998
42,2459735.939838,304.4965334,-6.2999671,1,18.483699798583984,0.08805999904870987,59735.43983800011
43,2459735.9393634,304.4965775,-6.2999872,1,18.460599899291992,0.07687900215387344,59735.439363399986
44,2459735.9010069,304.4965287,-6.2999718,2,18.53019905090332,0.09572699666023254,59735.401006899774
45,2459735.8991319,304.4966185,-6.3000274,2,18.53459930419922,0.10400799661874771,59735.399131900165
46,2459733.922338,304.4965563,-6.3000087,2,18.625499725341797,0.09102600067853928,59733.42233800003
47,2459732.9500347,304.4965525,-6.299992,2,18.515499114990234,0.09092800319194794,59732.45003469987
48,2459732.9363889,304.496558,-6.2999716,1,18.35059928894043,0.06827399879693985,59732.43638890004
49,2459731.8811227,304.4966965,-6.3000745,1,18.425800323486328,0.09234900027513504,59731.38112269994
50,2459727.9422338,304.496565,-6.299977,1,18.71150016784668,0.09786000102758408,59727.44223379996
51,2459727.9389236,304.4965618,-6.2999493,1,18.826400756835938,0.0977879986166954,59727.43892360013
52,2459725.9440046,304.4965257,-6.2999669,1,19.0221004486084,0.09641999751329422,59725.444004599936
53,2459725.9228241,304.496599,-6.3000175,2,19.221900939941406,0.13043799996376038,59725.422824100126
54,2459724.9591898,304.4965988,-6.300022,1,19.182899475097656,0.11693999916315079,59724.45918980008
55,2459724.9199306,304.4965751,-6.2999807,2,19.454999923706055,0.17589899897575378,59724.419930600096
56,2459723.9588079,304.4965455,-6.2999959,2,19.559999465942383,0.184797003865242,59723.45880790008
57,2459723.9367593,304.4966102,-6.2999673,1,19.318700790405273,0.1341630071401596,59723.436759300064
58,2459722.9191551,304.4965875,-6.2999758,1,19.621700286865234,0.17916299402713776,59722.419155099895
