,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460174.7269444,219.7562177,15.9865784,2,19.02265167236328,0.1503341794013977,60174.2269444
3,2460172.7245255,219.7562393,15.9867451,1,20.305599212646484,0.3566569983959198,60172.22452550009
4,2460172.6762269,219.7562694,15.9866528,2,18.99690055847168,0.09590200334787369,60172.17622689996
10,2460165.7051968,219.7562366,15.9865737,2,19.122900009155273,0.12252700328826904,60165.205196800176
12,2460163.7364699,219.756321,15.9866992,1,20.32469940185547,0.29562801122665405,60163.23646989977
13,2460162.7378704,219.7561897,15.9866034,2,18.988500595092773,0.12596799433231354,60162.23787039984
14,2460162.7271065,219.7561168,15.9865949,1,20.049999237060547,0.1971540004014969,60162.22710649995
17,2460159.7368056,219.7562498,15.9866146,2,19.00589942932129,0.2158380001783371,60159.236805600114
18,2460159.736331,219.7562207,15.9866105,2,18.840499877929688,0.12624700367450714,60159.23633099999
19,2460155.7780324,219.7562381,15.9865903,2,18.81220054626465,0.18450500071048737,60155.27803240018
21,2460152.7375694,219.7562612,15.9866041,2,18.89459991455078,0.16280199587345123,60152.23756940011
22,2460152.7366319,219.7562351,15.9866099,2,18.787599563598633,0.11273500323295593,60152.23663190007
23,2460152.7225579,219.7563228,15.9866107,1,20.20359992980957,0.23809100687503815,60152.22255790001
24,2460152.7220833,219.756253,15.9865848,1,20.10099983215332,0.25908800959587097,60152.22208329989
26,2460149.7371412,219.7563035,15.9865531,2,18.96430015563965,0.12933799624443054,60149.237141199876
27,2460147.7485764,219.7562934,15.9866223,2,18.893600463867188,0.12934699654579163,60147.24857639987
28,2460147.7481019,219.7562336,15.9865629,2,18.906600952148438,0.10993999987840652,60147.248101899866
30,2460145.7561921,219.7562564,15.9865931,2,18.893299102783203,0.12697499990463257,60145.25619209977
31,2460145.7201273,219.7562136,15.9865961,1,20.118900299072266,0.19812999665737152,60145.220127299894
32,2460143.72625,219.7561998,15.9865703,2,18.75119972229004,0.08280699700117111,60143.22624999983
33,2460143.7253125,219.7562802,15.9865762,2,18.856300354003906,0.12591999769210815,60143.225312499795
36,2460140.6874884,219.7562189,15.9865617,2,18.74169921875,0.09258600324392319,60140.18748839991
37,2460138.7142477,219.7562799,15.986638,1,20.013200759887695,0.21997599303722382,60138.21424769983
39,2460138.6976389,219.7562223,15.9866111,2,18.80030059814453,0.10457900166511536,60138.19763890002
40,2460136.7944329,219.7562489,15.986605,2,18.895700454711914,0.11838699877262115,60136.294432899915
41,2460136.7775231,219.7561946,15.9865627,2,18.754600524902344,0.09304100275039673,60136.27752309991
42,2460136.6972106,219.756247,15.9865904,1,19.933500289916992,0.17665399610996246,60136.197210600134
43,2460134.7380787,219.7562697,15.9866422,1,20.04520034790039,0.22377300262451172,60134.23807869991
44,2460134.727581,219.7562517,15.986553,2,18.845399856567383,0.10707099735736847,60134.227580999956
45,2460134.7000694,219.756232,15.9865887,2,18.819400787353516,0.10088899731636047,60134.200069400016
47,2460128.8020949,219.7562614,15.9865439,2,18.8518009185791,0.18737800419330597,60128.30209490005
48,2460128.8016319,219.7562156,15.9865768,2,18.795299530029297,0.1455419957637787,60128.301631900016
49,2460126.7366204,219.7562083,15.9865804,2,18.685400009155273,0.10775399953126907,60126.2366204001
52,2460124.7696991,219.7561533,15.9864946,1,19.730100631713867,0.24264800548553467,60124.26969909994
54,2460124.7135301,219.7562495,15.9865723,2,18.595399856567383,0.10221999883651733,60124.21353009995
57,2460122.7677431,219.7562015,15.9865494,2,18.673500061035156,0.11508099734783173,60122.26774309995
59,2460120.7542593,219.7562291,15.986655,1,19.797399520874023,0.21144799888134003,60120.25425929995
61,2460120.6922222,219.7562549,15.9865867,2,18.687000274658203,0.08812499791383743,60120.19222219987
63,2460118.7470486,219.756227,15.9865848,1,20.010900497436523,0.21189799904823303,60118.24704860011
64,2460118.7146991,219.7562252,15.9865839,2,18.659700393676758,0.09316299855709076,60118.21469909977
65,2460118.7142245,219.756268,15.9865532,2,18.645099639892578,0.09435900300741196,60118.214224500116
66,2460116.7334028,219.7562214,15.9865805,2,18.595800399780273,0.08551400154829025,60116.233402799815
67,2460116.7329282,219.7562199,15.9865499,2,18.670299530029297,0.09419199824333191,60116.23292820016
68,2460116.7070023,219.7562436,15.9866134,1,19.85919952392578,0.1751530021429062,60116.20700229984
69,2460116.7055671,219.7562366,15.9865947,1,19.779699325561523,0.14237399399280548,60116.205567100085
70,2460114.7702662,219.7562351,15.9865984,1,19.855600357055664,0.1781120002269745,60114.27026619995
71,2460114.7445949,219.7562416,15.9865563,2,18.79360008239746,0.10608000308275223,60114.24459489994
72,2460113.8755324,219.7561816,15.9865755,2,18.635400772094727,0.08518499881029129,60113.37553239986
73,2460113.7893519,219.7562442,15.9865956,1,19.7322998046875,0.1497800052165985,60113.28935190011
74,2460112.755544,219.7562483,15.9865979,2,18.61520004272461,0.10681299865245819,60112.25554399984
75,2460112.7283912,219.7562334,15.9866334,1,19.994199752807617,0.1958339959383011,60112.22839119984
76,2460111.7690046,219.7562164,15.9866486,1,19.8435001373291,0.14467699825763702,60111.26900460012
77,2460109.8328356,219.7562642,15.9865505,2,18.702600479125977,0.10122100263834,60109.33283559978
78,2460109.7920023,219.7562382,15.986593,1,19.819000244140625,0.17186500132083893,60109.2920022998
79,2460109.7776389,219.7562268,15.9866495,1,19.90839958190918,0.2042659968137741,60109.277638900094
80,2460109.7087153,219.7562429,15.9865764,2,18.61009979248047,0.06433700025081635,60109.208715300076
81,2460104.8206597,219.7562217,15.9866163,2,18.658599853515625,0.11277499794960022,60104.32065969985
82,2460104.8004514,219.7562769,15.9866019,1,19.710399627685547,0.1346130073070526,60104.300451400224
83,2460104.7734028,219.7562354,15.9865717,1,19.68429946899414,0.12472599744796753,60104.27340279985
84,2460102.7039468,219.7562132,15.9865866,2,18.55190086364746,0.12384899705648422,60102.20394679997
85,2460102.7030093,219.7562969,15.986611,2,18.5625,0.1640940010547638,60102.203009299934
86,2460100.7523495,219.7562611,15.9866108,2,18.532400131225586,0.08514799922704697,60100.25234950008
88,2460100.6865046,219.7562461,15.9866108,1,19.571500778198242,0.17973199486732483,60100.186504600104
89,2460098.8160995,219.7562541,15.9865837,2,18.668800354003906,0.13179799914360046,60098.31609949982
90,2460098.7972685,219.7562725,15.9866027,2,18.519100189208984,0.1596670001745224,60098.297268500086
92,2460094.8576157,219.7563381,15.9866138,1,19.65760040283203,0.18298199772834778,60094.35761569999
93,2460092.9166319,219.7561756,15.9865792,2,18.441200256347656,0.06972900032997131,60092.416631899774
94,2460092.9037847,219.7562407,15.9865398,2,18.564599990844727,0.08913499861955643,60092.403784700204
95,2460092.8351157,219.7562327,15.9866068,1,19.610700607299805,0.1383640021085739,60092.33511570003
96,2460092.826088,219.756273,15.9866071,1,19.646799087524414,0.1504019945859909,60092.32608800009
97,2460090.8245023,219.7562749,15.9865319,2,18.56060028076172,0.11009199917316437,60090.324502300005
