,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459777.6860069,213.5860878,-19.4229342,2,19.455638885498047,0.1861204206943512,59777.18600689992
2,2459765.7318519,213.5860381,-19.4228647,1,19.235599517822266,0.1113789975643158,59765.2318519
3,2459765.6934491,213.5860837,-19.4229368,2,18.946399688720703,0.10405699908733368,59765.193449100014
4,2459762.7329398,213.5860552,-19.4229257,2,18.910400390625,0.10460499674081802,59762.23293979978
5,2459760.7115509,213.5860965,-19.4229317,1,18.965900421142578,0.0921579971909523,59760.21155089978
6,2459758.711875,213.5860983,-19.4229327,1,18.84469985961914,0.13067899644374847,59758.21187500004
7,2459756.6898958,213.5860743,-19.4229551,2,18.656200408935547,0.0854170024394989,59756.18989579985
8,2459753.7315972,213.5860905,-19.4228864,1,18.760099411010742,0.08653099834918976,59753.231597200036
9,2459749.7511574,213.5861169,-19.4229302,1,18.84119987487793,0.11260800063610077,59749.2511574002
11,2459747.7102546,213.5860692,-19.4229098,2,18.917400360107422,0.08436500281095505,59747.210254599806
