,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459758.7827546,222.4609861,41.3737369,2,20.338531494140625,0.20265723764896393,59758.28275460005
1,2459758.7625579,222.4610028,41.3736787,2,20.398300170898438,0.2651509940624237,59758.262557900045
2,2459758.7473148,222.4610306,41.3737077,1,20.31839942932129,0.2082660049200058,59758.24731480004
3,2459756.8497685,222.4610605,41.3737572,2,20.30929946899414,0.2633509933948517,59756.349768499844
4,2459756.7880556,222.461013,41.3737,1,20.390600204467773,0.2627600133419037,59756.28805560013
5,2459756.7601389,222.4610182,41.3736922,1,20.325199127197266,0.26482200622558594,59756.26013890002
6,2459756.7216435,222.4609702,41.3737433,2,20.476299285888672,0.20597900450229645,59756.22164350003
8,2459753.7829861,222.4610153,41.3737031,1,20.490310668945312,0.20069999992847443,59753.28298609983
9,2459753.7651273,222.4608679,41.3736867,1,20.809600830078125,0.31039199233055115,59753.26512729982
11,2459751.8282755,222.4609813,41.3736653,1,20.60420036315918,0.2851180136203766,59751.328275499865
12,2459751.7791319,222.4609721,41.3736663,2,20.473899841308594,0.26635900139808655,59751.27913190005
13,2459751.7547106,222.4608551,41.3736895,2,20.584199905395508,0.244485005736351,59751.25471059978
14,2459751.7193866,222.4608925,41.3736698,1,20.617000579833984,0.2758120000362396,59751.21938659996
15,2459749.830625,222.4610005,41.3737444,2,20.524200439453125,0.33506301045417786,59749.330624999944
16,2459749.7818634,222.4607629,41.3736713,1,20.921499252319336,0.3610819876194,59749.28186339978
