,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459883.7317593,25.4814155,-3.2896462,1,19.866790771484375,0.16959351301193237,59883.23175929999
1,2459881.8376389,25.4814797,-3.2895992,1,20.057199478149414,0.20931999385356903,59881.33763890015
3,2459879.8318519,25.4814447,-3.2896777,1,19.756200790405273,0.18120500445365906,59879.33185190009
5,2459877.7750926,25.4815154,-3.2896546,1,19.75200080871582,0.17742100358009338,59877.27509259991
6,2459874.8163426,25.4814846,-3.2896338,2,20.00469970703125,0.12898500263690948,59874.316342600156
7,2459874.7136227,25.4814674,-3.2896133,1,19.753299713134766,0.1479099988937378,59874.21362269996
8,2459872.8573958,25.4814669,-3.2896204,2,20.09079933166504,0.15218999981880188,59872.35739579983
10,2459866.820787,25.4815004,-3.2896613,1,19.697999954223633,0.22167399525642395,59866.320787000004
11,2459864.8799884,25.4814282,-3.289709,1,19.361099243164062,0.26389700174331665,59864.3799883998
12,2459864.8308912,25.4814314,-3.2895572,2,19.81760025024414,0.2267490029335022,59864.330891199876
13,2459859.9577431,25.4813889,-3.2895929,1,19.516300201416016,0.16020700335502625,59859.45774309989
17,2459855.8673148,25.4814157,-3.289607,1,19.901199340820312,0.15396900475025177,59855.367314800154
19,2459850.8934838,25.4814581,-3.2895818,1,19.540700912475586,0.12829099595546722,59850.39348379988
21,2459848.8729398,25.4815022,-3.2896198,1,19.49799919128418,0.13807499408721924,59848.37293979991
22,2459848.8494213,25.4814491,-3.2895924,2,19.73579978942871,0.10576699674129486,59848.349421299994
23,2459846.9128125,25.4814339,-3.2895861,2,19.659900665283203,0.09400700032711029,59846.412812499795
24,2459846.8740856,25.481436,-3.2895895,1,19.418800354003906,0.13510200381278992,59846.37408560002
25,2459843.8579398,25.4814691,-3.2895949,1,19.33049964904785,0.11312200129032135,59843.35793979978
26,2459841.9269213,25.4814259,-3.2896336,1,19.36389923095703,0.11181800067424774,59841.426921300124
27,2459841.8624653,25.4814534,-3.2896132,1,19.342199325561523,0.1775750070810318,59841.36246530013
28,2459839.8988426,25.4814503,-3.2896147,1,19.13290023803711,0.11206100136041641,59839.398842600174
29,2459839.8505671,25.4814494,-3.2896074,1,19.2450008392334,0.14573900401592255,59839.350567100104
30,2459828.9615509,25.4814369,-3.2895846,1,19.31559944152832,0.1599770039319992,59828.46155089978
31,2459828.9518403,25.4814587,-3.2896358,2,19.4783992767334,0.10468599945306778,59828.45184030011
32,2459826.8712269,25.4816168,-3.2895188,1,19.20549964904785,0.1652749925851822,59826.37122689979
33,2459824.8928009,25.481472,-3.2895353,2,19.608299255371094,0.14019499719142914,59824.392800900154
34,2459821.969213,25.4814427,-3.2895904,2,19.374300003051758,0.09653100371360779,59821.46921300003
35,2459821.9199306,25.4814721,-3.2896179,1,19.148000717163086,0.10566899925470352,59821.419930600096
36,2459818.9644213,25.4814597,-3.2896021,1,19.1156005859375,0.11330299824476242,59818.46442130022
37,2459818.9186458,25.4814922,-3.2896118,2,19.310300827026367,0.0809670016169548,59818.41864580009
39,2459816.9581713,25.4814654,-3.2896174,1,18.931100845336914,0.11145400255918503,59816.458171300124
40,2459814.9606481,25.481478,-3.2896006,2,19.07430076599121,0.10167399793863297,59814.46064809989
41,2459812.9293634,25.4814515,-3.2896149,1,18.853300094604492,0.08369799703359604,59812.42936340021
42,2459812.9071065,25.4814487,-3.2896099,2,19.02720069885254,0.094589002430439,59812.40710650012
44,2459809.9243981,25.4814442,-3.289628,1,18.70549964904785,0.10138200223445892,59809.4243981
45,2459803.9607407,25.4814162,-3.2895919,1,18.524799346923828,0.13940399885177612,59803.4607406999
46,2459803.9025231,25.4814124,-3.2896023,2,18.85540008544922,0.11953999847173691,59803.40252309991
48,2459800.8810648,25.4814286,-3.2896182,1,18.303800582885742,0.08567699790000916,59800.38106480008
49,2459796.975544,25.4814576,-3.289594,1,18.127599716186523,0.06313999742269516,59796.475544000044
50,2459793.973287,25.4814732,-3.289595,1,18.217500686645508,0.0642009973526001,59793.473286999855
51,2459788.9598843,25.4814521,-3.2896171,1,18.28339958190918,0.06185600161552429,59788.4598842999
52,2459788.9350694,25.481492,-3.2896668,2,18.662700653076172,0.07972099632024765,59788.435069399886
53,2459784.9713657,25.481473,-3.2896161,1,18.469999313354492,0.08660200238227844,59784.47136570001
