,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459825.6541319,262.4939458,9.9851692,2,19.845308303833008,0.21478882431983948,59825.15413190005
1,2459823.6553125,262.493975,9.9851953,2,19.564199447631836,0.13293500244617462,59823.15531249996
3,2459820.6669676,262.4940407,9.9851772,2,19.579299926757812,0.1602499932050705,59820.16696760012
4,2459816.7083565,262.493972,9.9852312,1,20.036500930786133,0.1847829967737198,59816.20835650014
5,2459816.6757176,262.4939644,9.9852292,2,19.450899124145508,0.1156969964504242,59816.175717600156
7,2459810.6950694,262.4939759,9.9852209,1,19.456899642944336,0.1637990027666092,59810.19506940013
8,2459810.6771759,262.4939262,9.9852322,2,19.202299118041992,0.11902400106191635,59810.17717589997
9,2459808.7357523,262.4939692,9.985197,1,19.427099227905273,0.1315940022468567,59808.235752299894
10,2459808.7238079,262.4939649,9.9851961,2,19.047300338745117,0.11315999925136566,59808.22380790021
11,2459806.6929977,262.4939744,9.9852103,2,19.018699645996094,0.10482200235128403,59806.19299770007
12,2459806.6749769,262.493955,9.9851899,1,19.268299102783203,0.1132970005273819,59806.17497690022
13,2459804.6846644,262.4939432,9.9852041,2,18.877500534057617,0.1304350048303604,59804.18466439983
16,2459799.7169097,262.49391,9.9851872,2,18.90049934387207,0.11556100100278854,59799.21690970007
17,2459797.796088,262.4939476,9.9852208,1,18.814300537109375,0.12453100085258484,59797.29608799983
18,2459797.7180324,262.493956,9.9852149,2,18.90920066833496,0.09132999926805496,59797.218032400124
19,2459794.798287,262.4939921,9.9852057,1,19.02899932861328,0.11443699896335602,59794.29828700004
20,2459794.7330093,262.493935,9.9852219,2,18.99090003967285,0.100211001932621,59794.233009300195
21,2459792.7554745,262.4939537,9.9852242,1,19.1471004486084,0.11370600014925003,59792.25547449989
22,2459790.7317824,262.493968,9.9852164,2,19.265499114990234,0.11445000022649765,59790.23178240005
23,2459790.7146644,262.4939557,9.9852141,1,19.38629913330078,0.13423100113868713,59790.21466440009
24,2459788.7975116,262.4939595,9.9851848,1,19.544200897216797,0.1421010047197342,59788.29751159996
25,2459786.812419,262.4939958,9.9852023,1,20.028600692749023,0.18955999612808228,59786.31241900008
26,2459786.7527315,262.494029,9.9851472,2,20.120800018310547,0.23479099571704865,59786.25273150019
