,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459907.6072338,321.7322682,-7.0169786,1,19.659852981567383,0.16105180978775024,59907.107233799994
1,2459905.6285764,321.7322616,-7.0170004,2,19.35099983215332,0.11797700077295303,59905.128576400224
3,2459903.6777431,321.7323453,-7.0168334,1,19.746700286865234,0.2946549952030182,59903.177743100096
4,2459903.6276389,321.7323746,-7.0170465,2,19.36590003967285,0.14648400247097015,59903.12763890019
7,2459899.6065394,321.7322717,-7.0169117,2,19.1835994720459,0.1331920027732849,59899.10653939983
8,2459897.7179282,321.7323003,-7.017023,2,19.06290054321289,0.15650999546051025,59897.21792820003
9,2459897.631713,321.7323876,-7.0170422,1,19.468799591064453,0.15511099994182587,59897.131713000126
10,2459896.6256481,321.7323479,-7.0169541,2,18.995899200439453,0.11055000126361847,59896.12564809993
11,2459894.6698727,321.7323818,-7.0169394,1,19.65959930419922,0.27149298787117004,59894.16987269977
12,2459894.6050694,321.7322745,-7.0169411,2,19.05190086364746,0.09547899663448334,59894.10506939981
13,2459889.7127431,321.7322777,-7.0171256,1,19.05699920654297,0.1808599978685379,59889.21274309978
14,2459889.691794,321.7323052,-7.0171004,2,18.85110092163086,0.13482199609279633,59889.1917940001
15,2459887.7009144,321.732221,-7.0170656,1,19.33169937133789,0.22678600251674652,59887.200914400164
16,2459883.6494213,321.7322744,-7.0170001,1,19.450199127197266,0.21414999663829803,59883.14942129981
17,2459881.7597917,321.7323111,-7.0169718,2,18.65999984741211,0.09777999669313431,59881.25979170017
18,2459881.6275,321.7323053,-7.0169649,1,19.479299545288086,0.16484899818897247,59881.127499999944
19,2459879.7500926,321.7323237,-7.0170017,1,19.472900390625,0.14522500336170197,59879.25009260001
20,2459879.6277894,321.7323062,-7.016978,2,18.632699966430664,0.07656800001859665,59879.12778940005
21,2459877.7295139,321.7323071,-7.0170384,1,19.345800399780273,0.12629100680351257,59877.22951389989
22,2459877.6520602,321.7322931,-7.0169484,2,18.60569953918457,0.06820400059223175,59877.152060199995
23,2459873.691331,321.7322691,-7.0170157,1,19.3843994140625,0.12245000153779984,59873.19133100007
24,2459873.6493287,321.7323163,-7.0169717,2,18.421600341796875,0.05616600066423416,59873.1493286998
25,2459871.714838,321.732301,-7.0170605,1,19.445199966430664,0.14271700382232666,59871.214838000014
26,2459871.6843519,321.7322769,-7.0170006,2,18.381000518798828,0.06608700007200241,59871.18435190013
27,2459869.6273727,321.7322661,-7.0170285,1,19.22279930114746,0.11436399817466736,59869.12737269979
28,2459866.7113773,321.7322656,-7.0169775,1,19.26729965209961,0.1520490050315857,59866.21137729986
29,2459866.6756366,321.732269,-7.0169671,2,18.206300735473633,0.06935200095176697,59866.17563659977
30,2459861.6900231,321.7322232,-7.0170027,1,19.100799560546875,0.18017500638961792,59861.1900231
31,2459859.7509491,321.7322904,-7.016969,2,17.95039939880371,0.07041600346565247,59859.250949100126
32,2459856.7334838,321.7322605,-7.0170047,1,19.072999954223633,0.1624699980020523,59856.2334838002
33,2459854.7202199,321.732303,-7.0169879,1,18.92180061340332,0.08640599995851517,59854.2202198999
34,2459852.6771296,321.7322944,-7.0169658,2,17.760499954223633,0.03777699917554855,59852.1771296002
35,2459852.6493056,321.7323076,-7.0169939,1,18.88330078125,0.09103100001811981,59852.14930560021
36,2459850.7112963,321.7322899,-7.0169653,2,17.614599227905273,0.04334200173616409,59850.21129629994
37,2459850.6714931,321.7322986,-7.0169885,1,18.792800903320312,0.0887800008058548,59850.1714931
38,2459848.6945255,321.7322951,-7.016975,2,17.505300521850586,0.04170199856162071,59848.19452549983
39,2459848.6627778,321.7322961,-7.0169759,1,18.71380043029785,0.0812700018286705,59848.16277780011
40,2459846.7431597,321.7322711,-7.0169813,1,18.62019920349121,0.07994499802589417,59846.243159700185
41,2459846.6647106,321.7322881,-7.0169684,2,17.406700134277344,0.04199700057506561,59846.16471059993
42,2459843.7531366,321.7322845,-7.0169693,2,17.246000289916992,0.04530699923634529,59843.2531365999
43,2459841.7624306,321.7323009,-7.0169758,1,18.387100219726562,0.0641850009560585,59841.26243059989
44,2459841.7110648,321.7323019,-7.0169815,1,18.446800231933594,0.07444799691438675,59841.211064800154
45,2459838.6497801,321.7322984,-7.0169965,1,18.249900817871094,0.07541800290346146,59838.14978010021
46,2459829.8233565,321.7322912,-7.0169747,1,17.4552001953125,0.05983800068497658,59829.323356499895
47,2459829.6678009,321.7322868,-7.0169721,2,16.76689910888672,0.04012800008058548,59829.16780090006
48,2459826.8170718,321.7322958,-7.0169755,1,17.134300231933594,0.03525799885392189,59826.31707180012
49,2459826.7752431,321.7323055,-7.0169669,2,16.706499099731445,0.02540699951350689,59826.27524309978
50,2459824.7751273,321.7322911,-7.0169725,2,16.671899795532227,0.03741300106048584,59824.27512730006
51,2459824.7632523,321.7322961,-7.0169809,1,16.886199951171875,0.0375950001180172,59824.26325230021
52,2459821.7636343,321.7322889,-7.0169735,2,16.439899444580078,0.037122998386621475,59821.26363429986
53,2459819.7527894,321.7322877,-7.0169678,2,16.32670021057129,0.03380599990487099,59819.25278940005
54,2459817.7942708,321.7322947,-7.0169714,1,16.372100830078125,0.03172999992966652,59817.29427079996
55,2459815.8020949,321.7322894,-7.016956,2,16.2367000579834,0.03302299976348877,59815.30209490005
56,2459815.7518981,321.7322825,-7.0169655,1,16.28190040588379,0.03209700062870979,59815.251898100134
57,2459813.8190394,321.7323023,-7.0169906,1,16.240800857543945,0.029323000460863113,59813.3190394002
58,2459813.7703472,321.7322904,-7.0169653,2,16.232099533081055,0.0288929995149374,59813.27034719987
59,2459811.8147917,321.7322865,-7.0169665,2,16.266000747680664,0.031272999942302704,59811.31479169987
60,2459811.7725463,321.7322916,-7.0169698,1,16.226900100708008,0.035027001053094864,59811.2725463002
61,2459809.8355903,321.7322958,-7.0169578,1,16.2810001373291,0.0285630002617836,59809.33559030015
62,2459809.805463,321.7322915,-7.0169732,2,16.327199935913086,0.03526800125837326,59809.3054630002
63,2459807.8158333,321.7322813,-7.0169711,2,16.383699417114258,0.03255699947476387,59807.31583329989
64,2459805.9165509,321.7323045,-7.0169425,1,16.525699615478516,0.03036300092935562,59805.416550899856
66,2459800.8586921,321.7323151,-7.0169646,1,17.079099655151367,0.05159499868750572,59800.358692099806
67,2459797.8577431,321.7322963,-7.0169762,2,17.75349998474121,0.03694700077176094,59797.3577430998
68,2459794.8379745,321.7322932,-7.0169486,2,18.617300033569336,0.06854899972677231,59794.33797449991
