,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459842.8852199,4.2664962,22.7965332,2,20.40079116821289,0.20360642671585083,59842.38521989994
4,2459829.9553009,4.2664856,22.7965332,2,19.93720054626465,0.15439599752426147,59829.455300900154
5,2459829.9028935,4.2664126,22.7965693,1,20.636699676513672,0.3009530007839203,59829.40289349994
6,2459826.8409375,4.2665131,22.7965741,1,20.600500106811523,0.32439300417900085,59826.34093749989
7,2459826.8054977,4.266504,22.7965839,2,19.979900360107422,0.1640699952840805,59826.30549769988
8,2459824.8641204,4.2664976,22.796562,2,20.15369987487793,0.19993899762630463,59824.364120400045
9,2459824.8501273,4.2665263,22.7965216,1,20.464099884033203,0.26642799377441406,59824.35012729978
10,2459821.9205787,4.2665567,22.7965266,1,20.123199462890625,0.1520940065383911,59821.420578700025
11,2459821.8181481,4.266482,22.7965223,2,19.71500015258789,0.13011400401592255,59821.31814809982
12,2459818.9114468,4.2664985,22.7965175,2,19.534799575805664,0.1235319972038269,59818.41144679999
14,2459816.9405093,4.2665173,22.79655,1,19.82509994506836,0.11024700105190277,59816.44050930021
15,2459816.8812269,4.2664805,22.7965327,2,19.362699508666992,0.09751199930906296,59816.381226900034
16,2459814.8998843,4.2665044,22.7965387,2,19.357500076293945,0.1052979975938797,59814.39988429984
17,2459814.8311227,4.2664631,22.796518,1,19.68950080871582,0.14347100257873535,59814.331122700125
19,2459812.8075579,4.2664975,22.7965675,1,19.548099517822266,0.11829400062561035,59812.30755789997
20,2459810.9228472,4.2664846,22.7964844,2,19.136499404907227,0.11745300143957138,59810.422847200185
21,2459810.8669444,4.2664977,22.7965593,1,19.385099411010742,0.17254699766635895,59810.36694440013
22,2459808.9369907,4.2664943,22.796562,2,19.329700469970703,0.18882299959659576,59808.4369907002
23,2459808.8247801,4.2665248,22.7965673,1,19.388599395751953,0.18685099482536316,59808.324780100025
26,2459803.8818866,4.2665615,22.7965424,2,19.24180030822754,0.15824900567531586,59803.38188660005
27,2459801.9545718,4.2665596,22.7965413,2,19.78380012512207,0.14692600071430206,59801.45457179984
29,2459798.9442824,4.2664758,22.7965685,2,19.886699676513672,0.16460900008678436,59798.444282399956
31,2459795.9087963,4.26652,22.796592,1,20.84819984436035,0.24364399909973145,59795.40879630018
