,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459843.802963,5.7713726,29.2740014,2,20.326566696166992,0.1866770088672638,59843.30296299979
5,2459828.965787,5.7714191,29.274008,1,20.199199676513672,0.20555999875068665,59828.46578700002
6,2459826.8693403,5.7715359,29.2739197,1,19.940900802612305,0.3172459900379181,59826.369340300094
7,2459824.9015278,5.7713871,29.2739806,1,19.568700790405273,0.11556100100278854,59824.40152780013
8,2459824.8650694,5.7713381,29.273973,2,19.217899322509766,0.10590299963951111,59824.36506940005
9,2459822.9688889,5.7713736,29.2739736,2,19.123899459838867,0.0912730023264885,59822.46888889978
10,2459822.9503009,5.7713631,29.2739775,1,19.363500595092773,0.10147400200366974,59822.4503008998
11,2459819.9678819,5.7713781,29.273954,2,19.00979995727539,0.08164999634027481,59819.46788189979
12,2459817.9219444,5.7713645,29.2739877,1,18.971500396728516,0.0939600020647049,59817.42194439983
13,2459817.8839699,5.7713846,29.2740107,2,18.910600662231445,0.10104899853467941,59817.3839699002
14,2459815.9236343,5.7713763,29.2739772,1,18.72570037841797,0.0794219970703125,59815.42363430001
15,2459815.893287,5.7713838,29.2739547,2,18.730199813842773,0.08841600269079208,59815.39328699978
16,2459813.8797338,5.7713738,29.2739656,2,18.629600524902344,0.06923200190067291,59813.37973379996
17,2459813.8389352,5.771377,29.2739799,1,18.60759925842285,0.07269299775362015,59813.338935200125
18,2459810.9315741,5.7713575,29.2739881,2,18.64780044555664,0.09230600297451019,59810.43157410016
19,2459810.8664815,5.7713624,29.273919,1,18.53230094909668,0.09233400225639343,59810.36648150021
20,2459808.8805671,5.7713653,29.2739699,2,18.72089958190918,0.09077399969100952,59808.3805670999
21,2459808.8238426,5.7713675,29.2739736,1,18.56100082397461,0.09167099744081497,59808.32384259999
22,2459806.9118866,5.7713693,29.2739767,2,18.791900634765625,0.1024790033698082,59806.411886599846
23,2459803.9582523,5.7714115,29.2740136,1,18.81399917602539,0.10168100148439407,59803.45825230004
24,2459803.915544,5.7713496,29.2739463,2,19.11039924621582,0.16266599297523499,59803.41554399999
25,2459801.9607639,5.7713816,29.2739308,2,19.493499755859375,0.11809500306844711,59801.460763900075
27,2459798.9123495,5.7714255,29.2739803,1,20.28529930114746,0.17564600706100464,59798.41234950023
