,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459902.6991204,30.8230657,29.234751,2,19.6025390625,0.15470540523529053,59902.19912040001
2,2459900.7541898,30.823056,29.2347804,2,19.298200607299805,0.13368000090122223,59900.254189800005
3,2459898.7562153,30.8230406,29.234671,2,19.320199966430664,0.11680500209331512,59898.256215299945
5,2459896.7872106,30.8230228,29.234716,2,19.228700637817383,0.13238100707530975,59896.287210599985
8,2459894.7796412,30.8230683,29.2346827,2,19.039100646972656,0.1522189974784851,59894.27964119986
9,2459888.8018866,30.8230274,29.2347663,2,19.09429931640625,0.23462100327014923,59888.30188659998
11,2459883.8129282,30.8230425,29.234716,2,19.039400100708008,0.1056400015950203,59883.31292819977
13,2459881.8772569,30.8230021,29.2346927,1,19.927200317382812,0.14128699898719788,59881.37725690007
14,2459881.7883565,30.8230451,29.2347279,2,19.05579948425293,0.10739199817180634,59881.28835650021
15,2459879.8830787,30.8230253,29.2346984,2,18.9512996673584,0.10289999842643738,59879.38307869993
16,2459879.8214352,30.8230406,29.2347004,1,19.995399475097656,0.16729900240898132,59879.32143520005
17,2459877.9056713,30.8230291,29.2347021,1,20.113800048828125,0.21940100193023682,59877.4056712999
18,2459877.8829514,30.8230503,29.2346918,2,19.048500061035156,0.09142599999904633,59877.38295139978
19,2459874.8826852,30.8230366,29.234705,1,20.016300201416016,0.12287700176239014,59874.382685199846
20,2459874.8144444,30.8230455,29.2347153,2,18.950899124145508,0.08172199875116348,59874.314444399904
21,2459872.8891551,30.8230663,29.2346683,2,18.996599197387695,0.06815499812364578,59872.3891551001
22,2459872.8173843,30.8230782,29.2347565,1,19.957500457763672,0.16735400259494781,59872.31738429982
23,2459870.8365162,30.8229967,29.23473,1,20.05190086364746,0.2096409946680069,59870.3365162001
24,2459870.8020833,30.8230015,29.2347468,2,19.05030059814453,0.09878099709749222,59870.30208329996
27,2459865.8183333,30.8229843,29.2347518,2,18.9601993560791,0.11775600165128708,59865.31833329983
29,2459862.8295023,30.823032,29.2347032,2,18.988100051879883,0.14654000103473663,59862.329502299894
30,2459860.9226852,30.8230483,29.2347265,2,18.987199783325195,0.14496900141239166,59860.42268519988
31,2459860.8523148,30.8229673,29.2346982,1,19.927900314331055,0.3364430069923401,59860.352314800024
32,2459858.924537,30.8230133,29.2346902,1,19.88990020751953,0.17341700196266174,59858.42453699978
33,2459858.8588194,30.8230321,29.2347033,2,18.87689971923828,0.08714299649000168,59858.35881939996
34,2459856.8943287,30.8230338,29.2347065,2,18.906400680541992,0.08045999705791473,59856.39432869991
35,2459856.8289468,30.8230931,29.2347272,1,19.807899475097656,0.1619960069656372,59856.32894679997
37,2459854.8442593,30.8230451,29.2347421,2,18.99679946899414,0.10814099758863449,59854.3442592998
38,2459852.8468403,30.8229952,29.2347065,1,19.838600158691406,0.17062300443649292,59852.34684030013
39,2459852.8223495,30.8230521,29.2347279,2,18.986400604248047,0.10332600027322769,59852.32234949991
40,2459850.9408218,30.8230287,29.2347398,1,19.999300003051758,0.18315699696540833,59850.440821799915
41,2459850.8399074,30.8230298,29.2347103,2,18.94729995727539,0.08921100199222565,59850.339907399844
42,2459848.9687616,30.823036,29.2347294,2,18.923599243164062,0.07652299851179123,59848.46876160009
43,2459848.933125,30.8229972,29.2347378,1,19.732799530029297,0.17009299993515015,59848.43312499998
44,2459846.9099421,30.8230192,29.2346914,2,18.922800064086914,0.07893600314855576,59846.409942099825
