,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459843.802963,4.794552,29.3323477,2,19.499773025512695,0.13128747045993805,59843.30296299979
4,2459841.7798148,4.7947093,29.3323766,1,20.715499877929688,0.25104600191116333,59841.27981479978
9,2459829.9553009,4.7944041,29.3323358,2,19.39590072631836,0.11135700345039368,59829.455300900154
10,2459829.9028935,4.7945449,29.3323719,1,19.610300064086914,0.1431789994239807,59829.40289349994
11,2459828.965787,4.7946393,29.3323514,1,19.485200881958008,0.11749999970197678,59828.46578700002
12,2459826.8693403,4.7944788,29.332341,1,19.400299072265625,0.1759060025215149,59826.369340300094
13,2459826.8409375,4.7943001,29.3324234,1,19.608299255371094,0.188510000705719,59826.34093749989
14,2459826.8054977,4.7944163,29.3322749,2,19.34440040588379,0.13324999809265137,59826.30549769988
15,2459824.9015278,4.794555,29.332333,1,19.286699295043945,0.11813099682331085,59824.40152780013
16,2459824.8650694,4.7945438,29.3323239,2,18.974700927734375,0.07525300234556198,59824.36506940005
17,2459824.8641204,4.7944582,29.3323243,2,19.033100128173828,0.09170500189065933,59824.364120400045
18,2459824.8501273,4.7944705,29.3322707,1,19.49489974975586,0.2474289983510971,59824.35012729978
19,2459822.9688889,4.7945279,29.3322899,2,18.843799591064453,0.09145800024271011,59822.46888889978
20,2459822.9503009,4.7945874,29.3323215,1,19.164899826049805,0.10700500011444092,59822.4503008998
21,2459821.9205787,4.7944171,29.3322973,1,19.16659927368164,0.11939100176095963,59821.420578700025
22,2459821.8181481,4.794418,29.3323806,2,19.06130027770996,0.09720200300216675,59821.31814809982
23,2459819.9678819,4.7945611,29.3323328,2,18.91469955444336,0.07638899981975555,59819.46788189979
24,2459818.9114468,4.7944367,29.3323156,2,18.953899383544922,0.10124599933624268,59818.41144679999
25,2459818.8676157,4.794395,29.3322968,1,19.093000411987305,0.09517300128936768,59818.36761569977
26,2459817.9219444,4.794592,29.3323006,1,18.98259925842285,0.10864800214767456,59817.42194439983
27,2459817.8839699,4.7945651,29.3323412,2,18.96030044555664,0.10420200228691101,59817.3839699002
28,2459816.9405093,4.7944826,29.3323168,1,19.104700088500977,0.11815100163221359,59816.44050930021
29,2459816.8812269,4.7945315,29.3323291,2,19.0718994140625,0.11985699832439423,59816.381226900034
30,2459815.9236343,4.7945802,29.3323177,1,19.044099807739258,0.11682900041341782,59815.42363430001
32,2459814.8998843,4.7944293,29.3323318,2,19.12470054626465,0.1045830026268959,59814.39988429984
33,2459814.8311227,4.7944064,29.3323349,1,19.140300750732422,0.11625900119543076,59814.331122700125
34,2459813.8797338,4.7945417,29.3323184,2,19.02519989013672,0.09193900227546692,59813.37973379996
35,2459813.8389352,4.7945624,29.3323226,1,19.066699981689453,0.10756299644708633,59813.338935200125
37,2459812.8075579,4.794406,29.3323169,1,19.21929931640625,0.10710400342941284,59812.30755789997
38,2459810.9315741,4.7945474,29.3323249,2,19.158199310302734,0.10222499817609787,59810.43157410016
39,2459810.9228472,4.7944793,29.3322751,2,19.36750030517578,0.15714600682258606,59810.422847200185
40,2459810.8669444,4.7943763,29.3322581,1,19.403099060058594,0.19418799877166748,59810.36694440013
41,2459810.8664815,4.7946137,29.332299,1,19.156700134277344,0.140952005982399,59810.36648150021
42,2459808.9369907,4.7945368,29.3323191,2,19.577999114990234,0.17702199518680573,59808.4369907002
45,2459808.8238426,4.7945491,29.3322993,1,19.426300048828125,0.14935599267482758,59808.32384259999
