,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459853.7522569,332.6282028,0.0357641,2,19.925771713256836,0.17771534621715546,59853.25225690007
1,2459851.7233333,332.6281181,0.035811,1,20.720399856567383,0.2923569977283478,59851.22333330009
2,2459851.6877546,332.6282505,0.0357396,2,19.840200424194336,0.1563359946012497,59851.18775459984
3,2459849.7295949,332.6282642,0.0357711,1,20.64069938659668,0.2765969932079315,59849.22959489981
4,2459849.6726968,332.6282265,0.0357832,2,19.819499969482422,0.16561299562454224,59849.17269679997
5,2459847.8084144,332.6281462,0.0358577,1,20.423500061035156,0.22680500149726868,59847.30841440009
6,2459847.7326389,332.6282064,0.0357543,2,19.691200256347656,0.12595400214195251,59847.23263890017
7,2459845.7656713,332.6282235,0.0357534,2,19.624300003051758,0.128930002450943,59845.26567129977
8,2459845.7312153,332.6282706,0.0358152,1,20.41699981689453,0.21498900651931763,59845.23121530004
9,2459843.7735185,332.6282176,0.0357594,2,19.527999877929688,0.1047540009021759,59843.27351849992
10,2459841.7124884,332.6282272,0.0357743,1,19.845500946044922,0.1506509929895401,59841.21248839982
11,2459839.7743056,332.6281964,0.0357723,1,19.74650001525879,0.1484230011701584,59839.27430560021
12,2459839.7038542,332.6282378,0.0357926,1,19.66659927368164,0.12430000305175781,59839.203854199965
13,2459829.8596181,332.6282522,0.0357711,1,19.002399444580078,0.1269650012254715,59829.35961809987
14,2459829.6725231,332.6282045,0.0357387,2,18.92889976501465,0.17401400208473206,59829.17252309993
15,2459826.8189583,332.628249,0.0357906,1,19.011199951171875,0.08820199966430664,59826.318958300166
16,2459824.7960069,332.628198,0.035767,2,18.980499267578125,0.09181299805641174,59824.29600689979
17,2459822.8184838,332.6282646,0.0357727,1,18.888200759887695,0.11547700315713882,59822.31848380016
18,2459822.7741898,332.6282197,0.0357199,2,19.083099365234375,0.11655499786138535,59822.274189800024
19,2459820.7834144,332.6282258,0.0357805,1,18.948299407958984,0.07746700197458267,59820.28341440018
20,2459818.8323611,332.6282389,0.035786,1,19.10099983215332,0.09859500080347061,59818.332361099776
21,2459818.7964815,332.6282213,0.0357634,2,19.17060089111328,0.09115900099277496,59818.296481499914
22,2459816.8256597,332.6282273,0.0357859,2,19.41390037536621,0.11199700087308884,59816.325659700204
23,2459816.775,332.6282194,0.0357937,1,19.201200485229492,0.1210469976067543,59816.27499999991
24,2459814.815162,332.6282258,0.0357788,1,19.436399459838867,0.10945200175046921,59814.31516199978
25,2459814.7603009,332.6282493,0.035809,2,19.72909927368164,0.15838800370693207,59814.260300899856
26,2459812.8375231,332.6282768,0.0357781,2,19.8976993560791,0.1404549926519394,59812.337523099966
27,2459812.7941667,332.6282063,0.0357734,1,19.984800338745117,0.15877899527549744,59812.29416669998
