,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459858.9406134,56.3283669,-1.1807429,1,20.027029037475586,0.1410977989435196,59858.44061340019
1,2459858.8640856,56.328276,-1.1807906,2,20.23150062561035,0.2923870086669922,59858.36408559978
2,2459856.9236458,56.3283036,-1.1806992,1,20.12540054321289,0.18264499306678772,59856.42364579998
4,2459852.9866898,56.3283375,-1.1807559,2,19.933500289916992,0.18362000584602356,59852.48668979993
5,2459852.94125,56.328338,-1.1807761,1,19.9153995513916,0.13014300167560577,59852.44125000015
6,2459850.9861227,56.3283323,-1.1807061,2,20.04560089111328,0.1317320019006729,59850.48612269992
7,2459850.9473032,56.3283813,-1.1807987,1,20.098899841308594,0.1631069928407669,59850.44730320014
8,2459848.9645023,56.3283236,-1.180724,2,19.744600296020508,0.1255120038986206,59848.464502300136
9,2459846.9439005,56.3283671,-1.1807614,2,19.843799591064453,0.14802700281143188,59846.44390049996
10,2459846.8922569,56.3283546,-1.1807596,1,19.880199432373047,0.14924100041389465,59846.3922569002
11,2459843.9791898,56.3283452,-1.1807822,1,19.813499450683594,0.14684900641441345,59843.4791898001
12,2459843.9222454,56.3283204,-1.1807658,2,19.820499420166016,0.13701599836349487,59843.42224540003
13,2459841.9595139,56.3283312,-1.1807578,1,19.70009994506836,0.14874699711799622,59841.45951389987
14,2459841.8996296,56.3283034,-1.1807328,1,19.758499145507812,0.17344200611114502,59841.39962959988
15,2459839.9430208,56.328355,-1.1807701,1,19.55340003967285,0.15235699713230133,59839.44302080013
17,2459827.9412384,56.3283479,-1.1807979,1,19.967599868774414,0.17764799296855927,59827.44123840006
20,2459821.9826042,56.3283314,-1.1808022,2,20.00469970703125,0.14385999739170074,59821.48260420002
21,2459821.9417361,56.328345,-1.1807857,1,19.957300186157227,0.16534000635147095,59821.441736099776
22,2459818.9837384,56.3283194,-1.1807532,1,20.145099639892578,0.17170900106430054,59818.48373840004
23,2459818.9433565,56.3283252,-1.1807807,2,20.220699310302734,0.2153560072183609,59818.44335650001
25,2459816.9534375,56.3284011,-1.1807714,1,20.232500076293945,0.1813800036907196,59816.45343750017
