,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459858.9875694,119.5312951,17.4211905,2,20.188756942749023,0.17495745420455933,59858.48756940011
6,2459848.9971412,119.5311708,17.4211216,2,19.97480010986328,0.1667650043964386,59848.49714120012
8,2459847.002338,119.5312372,17.4211651,1,20.05620002746582,0.19127699732780457,59846.50233800011
9,2459846.973912,119.5312985,17.4211764,2,19.64240074157715,0.18591800332069397,59846.47391200019
10,2459830.0079282,119.531223,17.4211486,2,18.87220001220703,0.09380599856376648,59829.507928200066
11,2459830.0054514,119.5312612,17.4211413,2,19.00309944152832,0.13795700669288635,59829.50545139983
12,2459830.0029745,119.531218,17.4211808,2,19.086700439453125,0.14326000213623047,59829.50297449995
13,2459830.0004977,119.5311793,17.4211868,2,18.97369956970215,0.10400699824094772,59829.50049770018
14,2459829.9980208,119.5312121,17.4211414,2,18.948699951171875,0.1311189979314804,59829.49802079983
15,2459829.0074306,119.5312088,17.4211134,2,19.069799423217773,0.13003499805927277,59828.5074306
16,2459829.0049537,119.5312104,17.4211818,2,18.9867000579834,0.13622300326824188,59828.50495370012
17,2459829.0024653,119.5311851,17.4211383,2,19.043899536132812,0.11788500100374222,59828.502465299796
18,2459828.9999884,119.5312124,17.4211966,2,19.00119972229004,0.11372499912977219,59828.49998839991
19,2459828.9975116,119.5311284,17.4211447,2,18.948299407958984,0.15520399808883667,59828.497511600144
21,2459823.013588,119.5312575,17.4211245,2,19.35300064086914,0.22529800236225128,59822.51358800009
22,2459823.0111574,119.5312595,17.4212912,2,19.202899932861328,0.16510599851608276,59822.511157399975
23,2459823.0087153,119.5312968,17.421137,2,19.201000213623047,0.1668349951505661,59822.50871529989
24,2459823.0062847,119.5312291,17.4211739,2,19.258399963378906,0.16471999883651733,59822.506284699775
26,2459822.0146991,119.5311582,17.4211809,2,19.272199630737305,0.26147499680519104,59821.51469910005
28,2459822.0098264,119.5311734,17.4211469,2,19.336700439453125,0.1955450028181076,59821.50982639985
29,2459822.0073843,119.5311859,17.4211783,2,19.312700271606445,0.16534200310707092,59821.50738430023
32,2459820.0089236,119.531266,17.421136,2,19.341299057006836,0.2178249955177307,59819.50892359996
33,2459820.0064931,119.5311493,17.4210991,2,19.493499755859375,0.2536349892616272,59819.506493099965
34,2459820.0040741,119.5312608,17.421129,2,19.750099182128906,0.22367599606513977,59819.50407409994
39,2459819.0043519,119.531217,17.4212206,2,19.57699966430664,0.2190459966659546,59818.50435189996
