,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459873.6638657,322.0362918,-0.208513,2,19.922901153564453,0.17576190829277039,59873.1638656999
1,2459869.6701852,322.036327,-0.2083537,2,19.693199157714844,0.20284700393676758,59869.17018519994
2,2459869.6278472,322.0363367,-0.2083925,1,19.903200149536133,0.21091000735759735,59869.127847199794
3,2459866.7152315,322.036236,-0.2084689,1,19.56439971923828,0.19967800378799438,59866.2152315001
4,2459866.6760995,322.036279,-0.2084391,2,19.62470054626465,0.17663900554180145,59866.17609950015
5,2459864.6441435,322.0362192,-0.2084598,1,19.529600143432617,0.2215700000524521,59864.1441434999
6,2459859.7330787,322.0362044,-0.2084644,2,19.08970069885254,0.16026900708675385,59859.233078700025
7,2459859.6922106,322.0362461,-0.2084451,1,19.198400497436523,0.17612199485301971,59859.19221059978
8,2459856.7344329,322.0362527,-0.2084824,1,19.04010009765625,0.14691400527954102,59856.23443289986
9,2459854.7206944,322.0362933,-0.2084645,1,19.112300872802734,0.12000200152397156,59854.220694399904
10,2459852.6766551,322.0363272,-0.2083921,2,19.169599533081055,0.09375999867916107,59852.17665510019
11,2459852.6503125,322.0362696,-0.2085051,1,19.05139923095703,0.09665799885988235,59852.150312500075
12,2459850.7117593,322.0362499,-0.2084506,2,19.160200119018555,0.10873299837112427,59850.21175929997
13,2459850.6719676,322.0362781,-0.2084396,1,18.984800338745117,0.10179000347852707,59850.17196760001
14,2459848.6940625,322.0363079,-0.2084528,2,19.2268009185791,0.14023099839687347,59848.194062499795
15,2459848.6623032,322.0363147,-0.2084179,1,19.175800323486328,0.12276499718427658,59848.16230319999
16,2459846.7426852,322.0362823,-0.2084351,1,19.136999130249023,0.08576600253582001,59846.24268520018
17,2459846.6642477,322.0363094,-0.2084597,2,19.2632999420166,0.11004699766635895,59846.16424770001
18,2459844.773669,322.0362873,-0.208475,2,19.40570068359375,0.17686599493026733,59844.273668999784
19,2459844.7483681,322.0363072,-0.2084415,1,19.224000930786133,0.15366700291633606,59844.2483680998
20,2459842.7735301,322.0363509,-0.2084352,1,19.532899856567383,0.17820100486278534,59842.27353010001
21,2459842.7105093,322.0363169,-0.208474,2,19.613399505615234,0.14057600498199463,59842.21050930023
22,2459840.7874769,322.0363864,-0.2083957,1,19.748600006103516,0.1443289965391159,59840.287476900034
