,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459881.751169,347.2875669,-20.7914466,2,19.42104721069336,0.1638939529657364,59881.25116899982
1,2459879.7521528,347.2875769,-20.7914061,2,19.63050079345703,0.17877300083637238,59879.252152800094
2,2459877.7310648,347.2875269,-20.7916345,1,19.603599548339844,0.2355950027704239,59877.23106480017
3,2459873.6678356,347.2874973,-20.7913643,2,19.201900482177734,0.12605200707912445,59873.16783560021
4,2459871.7106019,347.287562,-20.7914804,1,19.190900802612305,0.1356779932975769,59871.21060189977
5,2459871.6888194,347.2875601,-20.7914523,2,18.980199813842773,0.11682199686765671,59871.188819400035
6,2459867.7609722,347.2875319,-20.7914033,1,19.128299713134766,0.15302300453186035,59867.26097219996
7,2459865.8320949,347.287419,-20.7914902,2,18.919099807739258,0.14536699652671814,59865.332094899844
8,2459865.7102546,347.2875499,-20.7914867,1,18.896499633789062,0.13963699340820312,59865.210254599806
10,2459861.753831,347.2874775,-20.7914134,2,18.703699111938477,0.17117099463939667,59861.25383100007
11,2459856.746713,347.2876076,-20.7914468,1,18.806299209594727,0.13271600008010864,59856.246712999884
12,2459856.7233218,347.2875036,-20.7914315,2,18.985200881958008,0.12716299295425415,59856.22332180012
13,2459854.7728704,347.2875665,-20.7914466,2,19.140300750732422,0.12404400110244751,59854.27287039999
14,2459852.8359954,347.2876043,-20.7914241,1,19.208900451660156,0.14464299380779266,59852.33599539986
15,2459852.7606713,347.2875256,-20.7914541,2,19.40250015258789,0.1362140029668808,59852.26067129988
16,2459849.7958333,347.2875366,-20.7915107,2,19.760400772094727,0.22421999275684357,59849.29583329987
17,2459849.7586111,347.2875098,-20.7913463,1,19.611400604248047,0.21009700000286102,59849.258611099795
18,2459847.752338,347.2873458,-20.7914081,2,20.26099967956543,0.2809469997882843,59847.25233800011
