,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459883.6293519,338.4516718,16.8909706,2,20.201953887939453,0.1779533475637436,59883.12935189996
2,2459881.755544,338.4516371,16.8909234,2,20.209699630737305,0.1812649965286255,59881.25554399984
3,2459879.7640741,338.4516388,16.8908779,2,20.041000366210938,0.1592639982700348,59879.26407410018
4,2459879.7375926,338.4516367,16.8908938,1,20.35219955444336,0.18273599445819855,59879.23759259982
6,2459877.7464005,338.4515926,16.8908876,1,20.22330093383789,0.21240299940109253,59877.24640050018
7,2459874.6924421,338.4516858,16.8909414,1,19.925199508666992,0.1670749932527542,59874.19244210003
8,2459874.6663773,338.4516454,16.8909268,2,19.922500610351562,0.1507759988307953,59874.16637729993
9,2459872.7833333,338.4516247,16.8909895,1,20.030399322509766,0.1922059953212738,59872.28333330015
10,2459872.6944676,338.4516473,16.8908861,2,19.818300247192383,0.16483500599861145,59872.19446759997
11,2459870.8216088,338.4515947,16.8909117,1,19.843599319458008,0.18592199683189392,59870.321608799975
12,2459870.7122801,338.4516593,16.8909043,2,19.806299209594727,0.162322998046875,59870.21228010021
13,2459867.7135648,338.45166,16.8909142,1,19.684200286865234,0.15087400376796722,59867.2135648001
14,2459865.7130903,338.45171,16.8909321,1,19.936899185180664,0.23273099958896637,59865.213090300094
15,2459865.6637037,338.4516592,16.8909188,2,19.868000030517578,0.15034699440002441,59865.16370370006
16,2459863.8270486,338.451645,16.8909908,1,19.679399490356445,0.220660999417305,59863.327048600186
