,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459903.6491782,331.2017325,-6.3424986,2,19.716123580932617,0.1909848153591156,59903.149178199936
1,2459903.6487153,331.2017807,-6.3424475,2,19.78114128112793,0.18258674442768097,59903.14871530002
6,2459899.6060648,331.20182,-6.3426008,2,19.733800888061523,0.19263799488544464,59899.10606480017
7,2459898.7390625,331.2018067,-6.3425589,2,19.784700393676758,0.21429699659347534,59898.239062500186
9,2459897.7174537,331.2018374,-6.3424435,2,19.57670021057129,0.2072719931602478,59897.217453700025
11,2459896.6051042,331.201739,-6.342524,2,19.574899673461914,0.17918899655342102,59896.105104200076
13,2459894.6259375,331.2017585,-6.3425075,2,19.56559944152832,0.1654299944639206,59894.12593750004
18,2459883.6704977,331.2017388,-6.3424984,1,19.33139991760254,0.11749599874019623,59883.170497700106
19,2459883.6445718,331.2017775,-6.3424721,2,18.97480010986328,0.07918500155210495,59883.144571799785
20,2459881.7583681,331.201786,-6.3425147,2,18.97559928894043,0.08797600120306015,59881.25836810004
21,2459881.6447222,331.2017551,-6.3425401,1,19.08209991455078,0.1304740011692047,59881.1447222
22,2459881.6442593,331.2017695,-6.3425045,1,19.065799713134766,0.10083500295877457,59881.14425930008
23,2459879.761713,331.2017801,-6.3425202,2,18.82159996032715,0.11186300218105316,59879.261713000014
24,2459879.7612384,331.2017839,-6.3424999,2,18.809600830078125,0.09739100188016891,59879.26123839989
25,2459879.7342708,331.2017585,-6.342498,1,19.13409996032715,0.12827099859714508,59879.234270799905
26,2459877.711794,331.2017573,-6.3424956,1,18.891700744628906,0.08173199743032455,59877.21179400012
27,2459877.6695949,331.2017825,-6.3425067,2,18.727800369262695,0.09376499801874161,59877.16959490022
28,2459877.6691319,331.2017619,-6.3424979,2,18.859800338745117,0.11497499793767929,59877.169131900184
29,2459874.6904977,331.2017483,-6.3424913,1,18.724899291992188,0.06323400139808655,59874.190497700125
30,2459874.6689236,331.2017481,-6.3425094,1,18.741500854492188,0.12659600377082825,59874.16892360011
31,2459874.6485648,331.2017541,-6.3424988,2,18.76740074157715,0.06746400147676468,59874.148564800154
32,2459874.6480903,331.2017597,-6.3424871,2,18.89459991455078,0.10078799724578857,59874.14809030015
33,2459872.691169,331.2017442,-6.3424995,2,18.8125,0.07925599813461304,59872.19116900023
34,2459872.690706,331.2017581,-6.3425188,2,18.845800399780273,0.0926709994673729,59872.1907060002
35,2459872.6695602,331.2017209,-6.3425213,1,18.70050048828125,0.1131099984049797,59872.16956020007
36,2459870.6897454,331.201783,-6.342487,2,18.73390007019043,0.11183100193738937,59870.1897454001
37,2459870.6892708,331.2017623,-6.3425419,2,18.930999755859375,0.09441699832677841,59870.18927079998
38,2459867.7121528,331.2017761,-6.3424755,1,19.135499954223633,0.10233599692583084,59867.21215280006
39,2459867.7116782,331.2017465,-6.3425185,1,18.88450050354004,0.11981700360774994,59867.211678199936
40,2459867.6924653,331.20176,-6.342475,2,18.935199737548828,0.0917389988899231,59867.192465300206
41,2459867.6910417,331.2017551,-6.3425018,2,19.05430030822754,0.08629799634218216,59867.191041700076
