,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459883.8124537,33.2574202,18.4049613,2,20.065458297729492,0.1875196248292923,59883.31245370023
1,2459883.7378935,33.2573799,18.4049136,1,20.06679916381836,0.1906220018863678,59883.2378934999
2,2459881.8557292,33.2574579,18.4049687,1,20.049800872802734,0.2062149941921234,59881.355729199946
3,2459881.7937616,33.2574087,18.4049321,2,19.829299926757812,0.11629600077867508,59881.29376159981
4,2459879.8601157,33.2573182,18.4049011,2,19.701900482177734,0.10913299769163132,59879.360115699936
5,2459879.8209606,33.2574011,18.4049783,1,19.871999740600586,0.17884500324726105,59879.32096059993
6,2459877.9047338,33.2574404,18.4049397,1,19.846900939941406,0.23748500645160675,59877.40473379986
7,2459877.8512153,33.2574223,18.4049251,2,19.5625,0.0968869999051094,59877.35121530015
8,2459874.8836227,33.2574091,18.4049727,1,19.76129913330078,0.1586650013923645,59874.38362269988
9,2459874.814919,33.2574298,18.4049468,2,19.6382999420166,0.09736400097608566,59874.314919000026
10,2459872.8882176,33.2573741,18.4049446,2,19.533100128173828,0.08849900215864182,59872.38821760006
11,2459872.8169213,33.2573728,18.4050499,1,19.574199676513672,0.14281700551509857,59872.31692129979
12,2459870.8360532,33.2573965,18.4049398,1,19.66900062561035,0.15115900337696075,59870.336053200066
13,2459870.8061574,33.2574134,18.4049274,2,19.591999053955078,0.11848899722099304,59870.3061573999
14,2459867.7735417,33.2573553,18.4048976,1,19.61370086669922,0.1764640063047409,59867.273541700095
16,2459865.8173843,33.2574391,18.4049106,2,19.739999771118164,0.23650799691677094,59865.31738429982
