,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459922.6203009,325.6422676,21.0798194,2,19.794788360595703,0.18832926452159882,59922.12030090019
1,2459913.6459028,325.6422377,21.0797796,2,19.48080062866211,0.1625470072031021,59913.14590279991
2,2459910.6251736,325.6422192,21.0798129,2,19.322500228881836,0.11395499855279922,59910.125173599925
3,2459908.6538773,325.6422975,21.0797591,2,19.31839942932129,0.2566249966621399,59908.15387730021
4,2459908.6106944,325.6422366,21.0797203,1,19.277799606323242,0.17906999588012695,59908.110694400035
5,2459906.6873148,325.6422788,21.0798162,1,19.180099487304688,0.10490799695253372,59906.18731479999
6,2459906.634294,325.6422598,21.0797803,2,19.040700912475586,0.09787800163030624,59906.13429399999
7,2459904.6339583,325.6422753,21.0797744,1,19.06290054321289,0.10858800262212753,59904.13395830011
8,2459904.6183449,325.6422193,21.0798051,2,19.026599884033203,0.09747499972581863,59904.1183449002
9,2459902.6756713,325.642299,21.0798008,1,18.925199508666992,0.12095600366592407,59902.17567129992
10,2459902.6328125,325.6423289,21.0797668,2,18.92490005493164,0.13145899772644043,59902.1328125
11,2459900.6212847,325.6422556,21.0797533,2,18.884000778198242,0.12861700356006622,59900.1212847
12,2459898.7409491,325.6422466,21.0797807,2,18.856300354003906,0.13077199459075928,59898.24094909988
13,2459898.6223843,325.6422801,21.0797855,1,18.85140037536621,0.0736749991774559,59898.12238429999
14,2459896.6607523,325.6422724,21.0797919,1,18.826499938964844,0.10040800273418427,59896.16075230017
15,2459896.6222917,325.6422575,21.0798084,2,18.80739974975586,0.0918940007686615,59896.12229169998
16,2459894.7295602,325.6422473,21.0797462,1,18.840700149536133,0.17997899651527405,59894.229560200125
17,2459894.6074769,325.6422498,21.0797966,2,18.923500061035156,0.0893469974398613,59894.107476899866
19,2459888.6812269,325.642227,21.0797748,1,19.17449951171875,0.20285700261592865,59888.18122689985
20,2459883.6723727,325.6422946,21.0797805,1,20.07469940185547,0.2065410017967224,59883.17237270018
21,2459883.6422106,325.6422015,21.0798547,2,20.050199508666992,0.22421500086784363,59883.142210599966
22,2459881.6710532,325.6421688,21.0798465,2,20.419200897216797,0.22384600341320038,59881.17105320003
23,2459881.641412,325.642316,21.0797583,1,20.426700592041016,0.22832900285720825,59881.14141200017
