,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459936.6728009,13.6361127,20.4044853,1,19.795665740966797,0.1553010195493698,59936.17280089995
1,2459934.7453704,13.6361263,20.4044133,2,19.527700424194336,0.14178499579429626,59934.24537040014
2,2459934.6803241,13.6361238,20.4044083,1,19.805400848388672,0.13019900023937225,59934.18032409996
3,2459932.7225926,13.6361769,20.4043569,2,19.44219970703125,0.14002299308776855,59932.222592600156
4,2459932.6449306,13.636101,20.4044183,1,19.672000885009766,0.11240799725055695,59932.14493060019
5,2459928.6970949,13.6361426,20.4044071,1,19.551799774169922,0.1584399938583374,59928.19709490007
6,2459928.651088,13.6361294,20.404404,2,19.345300674438477,0.12954699993133545,59928.15108799981
7,2459922.718125,13.6361563,20.4044668,1,19.486400604248047,0.1706410050392151,59922.21812500013
9,2459913.7277662,13.6361289,20.4043926,1,19.28380012512207,0.10074199736118317,59913.22776619997
10,2459913.6665972,13.6361602,20.4044123,2,19.243499755859375,0.09783399850130081,59913.16659720009
11,2459910.713588,13.6361648,20.404431,1,19.158899307250977,0.10578099638223648,59910.21358799981
12,2459910.6740509,13.6361176,20.4044001,2,19.165800094604492,0.09149099886417389,59910.174050900154
13,2459908.7346875,13.6361006,20.4044613,1,19.11590003967285,0.12476000189781189,59908.23468750017
14,2459908.6750116,13.6361236,20.4044379,2,19.121999740600586,0.11162099987268448,59908.1750115999
15,2459906.7201736,13.6361403,20.4044054,1,19.154699325561523,0.11606299877166748,59906.22017360013
16,2459904.6925463,13.636139,20.4044142,2,19.229799270629883,0.08694899827241898,59904.192546300124
17,2459904.6663773,13.6361541,20.4044045,1,19.146099090576172,0.09308400005102158,59904.16637729993
18,2459902.8015046,13.6361819,20.404428,1,19.127099990844727,0.131413996219635,59902.30150459986
19,2459902.6660532,13.6361531,20.4044269,2,19.310199737548828,0.10842400044202805,59902.16605320014
21,2459898.7915394,13.6361585,20.4044347,2,19.468599319458008,0.15843899548053741,59898.291539399885
22,2459898.7284259,13.6361401,20.4044303,1,19.171199798583984,0.09351299703121185,59898.228425899986
23,2459896.7838773,13.6361294,20.4044301,2,19.472900390625,0.11071000248193741,59896.2838773001
24,2459896.7201157,13.6361061,20.4044106,1,19.111600875854492,0.11339300125837326,59896.220115699805
26,2459894.8028241,13.6361135,20.4044504,2,19.67300033569336,0.18047000467777252,59894.302824100014
