,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459901.7296528,37.6607707,42.2325624,1,17.68073081970215,0.1685032993555069,59901.22965280013
1,2459899.8114005,37.6606177,42.2328432,2,16.66900062561035,0.059130001813173294,59899.311400500126
2,2459897.7829051,37.6606876,42.232508,2,16.5314998626709,0.054005999118089676,59897.28290509991
3,2459897.7454861,37.6606964,42.2324582,1,16.806499481201172,0.04143200069665909,59897.245486100204
4,2459895.7842824,37.6606672,42.232439,1,16.550500869750977,0.04273400083184242,59895.28428239981
5,2459895.7228819,37.6606799,42.2324958,2,16.49370002746582,0.06365200132131577,59895.22288190015
6,2459893.9051736,37.6606658,42.2324358,1,16.340499877929688,0.03384900093078613,59893.405173600186
7,2459888.9272106,37.6606273,42.2324127,1,15.804400444030762,0.06245899945497513,59888.427210600115
9,2459888.8084606,37.6606648,42.232492,2,16.063800811767578,0.045667000114917755,59888.30846060021
10,2459885.7697685,37.6606627,42.2324137,1,15.748299598693848,0.02863300032913685,59885.26976849977
12,2459882.8810648,37.6606702,42.2324227,1,15.669500350952148,0.03361000120639801,59882.38106480008
14,2459882.7951852,37.6606758,42.2324723,2,15.705100059509277,0.03496599942445755,59882.29518519994
15,2459880.7560069,37.660664,42.2324434,1,15.652299880981445,0.03992199897766113,59880.25600690022
16,2459880.6809028,37.6606681,42.232464,2,15.75409984588623,0.028102999553084373,59880.18090280006
18,2459878.7840741,37.660676,42.2324567,2,15.806099891662598,0.04226300120353699,59878.2840741002
19,2459876.9330324,37.6606666,42.2324309,1,15.804400444030762,0.03141599893569946,59876.433032399975
20,2459876.8220255,37.6606501,42.2325079,2,16.022300720214844,0.05077999830245972,59876.32202549977
21,2459873.8840278,37.6606558,42.2324248,1,16.207500457763672,0.0539730004966259,59873.38402780006
23,2459873.828044,37.6606887,42.2324796,2,16.336700439453125,0.038499001413583755,59873.32804400008
24,2459871.8621296,37.6607228,42.2324577,1,16.751399993896484,0.05238400027155876,59871.36212959979
