,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459937.9115625,155.8339208,61.0309841,1,20.01449966430664,0.18616479635238647,59937.411562500056
1,2459937.8462269,155.8342934,61.0310493,2,19.273300170898438,0.13742199540138245,59937.346226899885
2,2459935.8219097,155.8342683,61.031055,1,19.683700561523438,0.164900004863739,59935.321909700055
3,2459935.7982523,155.834244,61.0310371,2,19.343399047851562,0.11928600072860718,59935.298252299894
4,2459933.9110648,155.8340247,61.0310097,2,19.37070083618164,0.22645199298858643,59933.411064799875
5,2459930.919375,155.8342019,61.0310006,2,19.12459945678711,0.10875599831342697,59930.419375000056
6,2459930.898831,155.8341694,61.0310425,1,19.350200653076172,0.09143099933862686,59930.398831000086
7,2459923.9285764,155.8341799,61.0310306,1,18.73819923400879,0.10171499848365784,59923.42857640004
8,2459923.8674306,155.8342475,61.031034,2,18.851999282836914,0.0909229964017868,59923.36743059987
9,2459914.915081,155.8341651,61.0310142,2,18.874799728393555,0.07649599760770798,59914.415080999956
10,2459910.9867593,155.8341389,61.0310215,1,19.061399459838867,0.08874800056219101,59910.48675929988
11,2459910.977419,155.8342061,61.0310322,2,19.162200927734375,0.10270500183105469,59910.47741900012
12,2459908.9716088,155.8340152,61.0310399,1,19.15999984741211,0.17226199805736542,59908.47160879988
14,2459905.8712847,155.8341889,61.0309681,2,19.696800231933594,0.20433400571346283,59905.3712847
15,2459903.9980556,155.834413,61.0309692,2,20.0718994140625,0.19367100298404694,59903.498055600096
16,2459903.8816898,155.8337047,61.0308442,1,20.340700149536133,0.25817200541496277,59903.38168979995
