,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460083.682037,143.0477728,51.4058746,2,19.773771286010742,0.18615154922008514,60083.18203700008
1,2460081.7682176,143.0479532,51.4058377,2,19.946800231933594,0.20384399592876434,60081.26821759995
2,2460081.7423611,143.0478374,51.4058437,2,20.06909942626953,0.3931509852409363,60081.242361099925
5,2460079.8056134,143.0477222,51.4059294,2,19.847999572753906,0.19608399271965027,60079.30561339995
6,2460079.6726736,143.0478141,51.4058257,2,19.693500518798828,0.1658640056848526,60079.172673599795
8,2460077.7625347,143.0479528,51.4057702,1,20.51930046081543,0.2841790020465851,60077.26253469987
9,2460077.7194329,143.0480832,51.4057808,2,19.9862003326416,0.17826099693775177,60077.219432900194
10,2460077.6740741,143.0477975,51.4058184,2,19.850500106811523,0.22969500720500946,60077.174074099865
11,2460073.6963773,143.047864,51.405808,2,19.8080997467041,0.1616310030221939,60073.19637730019
14,2460065.7208565,143.0479115,51.4057763,2,19.769699096679688,0.24329599738121033,60065.22085649986
16,2460064.7804861,143.0477895,51.4058892,2,19.705299377441406,0.24763000011444092,60064.28048609989
18,2460063.7405208,143.047821,51.4058076,2,19.667699813842773,0.27044999599456787,60063.2405208
21,2460062.6745718,143.0478551,51.4058822,2,19.564300537109375,0.14389599859714508,60062.174571800046
22,2460061.6934491,143.0478738,51.4058259,2,19.74799919128418,0.23260299861431122,60061.193449100014
25,2460060.666713,143.0478928,51.4059,2,19.723100662231445,0.20482100546360016,60060.16671299981
26,2460059.7012616,143.0476324,51.405784,2,19.7322998046875,0.21008600294589996,60059.201261600014
28,2460058.6869329,143.0478808,51.4058224,1,20.383100509643555,0.22582800686359406,60058.18693289999
30,2460057.6639352,143.0477999,51.4058323,2,19.530099868774414,0.1654990017414093,60057.163935199846
32,2460056.6780671,143.0478193,51.4058098,2,19.539899826049805,0.1185849979519844,60056.17806709977
35,2460055.6984259,143.0478969,51.4058378,2,19.769100189208984,0.20298099517822266,60055.19842590019
36,2460054.6788889,143.047872,51.4057711,1,20.18269920349121,0.1740420013666153,60054.178888900205
39,2460053.7206944,143.047847,51.4059018,2,19.66189956665039,0.1996140033006668,60053.220694399904
41,2460052.7212384,143.0480653,51.4057492,1,20.349599838256836,0.18358400464057922,60052.221238399856
42,2460052.6907755,143.0478935,51.4058388,2,19.48080062866211,0.09112399816513062,60052.190775500145
43,2460051.748669,143.0477925,51.4058204,2,19.77910041809082,0.19874000549316406,60051.24866899988
46,2460050.7017708,143.0478579,51.4058863,2,19.51580047607422,0.1114170029759407,60050.201770800166
47,2460050.6747454,143.0477756,51.4058119,1,20.11199951171875,0.15476000308990479,60050.17474539997
49,2460049.7152778,143.0478087,51.4058348,2,19.59119987487793,0.12436699867248535,60049.21527779987
51,2460045.7501157,143.0478746,51.4058712,2,19.431299209594727,0.11574900150299072,60045.250115700066
56,2460043.6975116,143.047776,51.4057917,2,19.58650016784668,0.2373100072145462,60043.197511599865
62,2460036.759375,143.047805,51.4058354,2,19.15060043334961,0.2014620006084442,60036.25937499991
64,2460031.7688657,143.0479035,51.4057836,2,19.27400016784668,0.1615220010280609,60031.26886569988
69,2460021.7796296,143.0477733,51.4058585,1,20.2593994140625,0.22222900390625,60021.27962959977
70,2460021.726088,143.0478768,51.4059369,2,19.498300552368164,0.14644700288772583,60021.226087999996
71,2460021.7256134,143.0480814,51.4059117,2,19.153499603271484,0.3483389914035797,60021.225613399874
75,2460017.7287963,143.0479387,51.4057894,1,20.054899215698242,0.16068699955940247,60017.22879630001
79,2459994.8307986,143.0479007,51.4059039,1,19.793399810791016,0.18577100336551666,59994.33079859987
80,2459994.7759838,143.0479072,51.4058394,2,19.23240089416504,0.10336499661207199,59994.27598380018
83,2459992.8007523,143.0479711,51.4060495,2,19.159500122070312,0.29355600476264954,59992.30075229984
84,2459992.7635185,143.0477807,51.4058529,1,19.577199935913086,0.17940300703048706,59992.26351850014
86,2459985.7631019,143.0479721,51.4057831,1,19.81679916381836,0.21225200593471527,59985.2631019
89,2459985.741713,143.0478695,51.4057539,2,19.118000030517578,0.15257899463176727,59985.241712999996
92,2459983.6116551,143.0478925,51.4057993,1,19.712499618530273,0.16675899922847748,59983.11165509978
95,2459979.9228704,143.048235,51.4058584,2,19.297100067138672,0.16447299718856812,59979.422870399896
99,2459972.8676736,143.0477964,51.405821,1,19.59779930114746,0.14913800358772278,59972.36767360009
100,2459972.8462384,143.0478716,51.4058273,2,19.220500946044922,0.09295299649238586,59972.346238399856
101,2459970.7804861,143.0479777,51.4057995,1,19.845699310302734,0.2904059886932373,59970.28048609989
103,2459968.8447338,143.0478957,51.4058622,1,19.54759979248047,0.10989599674940109,59968.34473379981
105,2459968.7773032,143.0479379,51.4058439,2,19.155099868774414,0.09796400368213654,59968.277303200215
106,2459965.8675,143.0477503,51.40584,1,19.5137996673584,0.17430399358272552,59965.36750000017
108,2459965.8448611,143.0478113,51.4058881,2,19.412200927734375,0.2886489927768707,59965.34486109996
111,2459956.9899884,143.0478422,51.4058518,2,19.24180030822754,0.12131500244140625,59956.489988400135
113,2459937.8457523,143.0479147,51.4058689,2,19.718900680541992,0.1512030065059662,59937.34575230023
115,2459935.7987269,143.0479421,51.4058408,2,20.41160011291504,0.3086729943752289,59935.298726900015
