,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460073.6718287,123.7544886,5.6026606,2,19.41790199279785,0.13376252353191376,60073.17182870023
1,2460065.7246759,123.7544972,5.602725,2,19.232999801635742,0.16930000483989716,60065.22467589984
2,2460059.6969792,123.7545169,5.6027865,2,19.128400802612305,0.12782500684261322,60059.1969792
3,2460059.6721759,123.7544872,5.6026266,1,19.823299407958984,0.22039499878883362,60059.17217590008
4,2460057.6944792,123.7545054,5.6027913,1,19.761600494384766,0.162541002035141,60057.19447920006
5,2460057.6724769,123.7545244,5.6027786,2,19.0580997467041,0.0878010019659996,60057.17247689981
6,2460055.6936343,123.7544987,5.6027538,2,18.96780014038086,0.097632996737957,60055.19363430003
7,2460055.6744907,123.7544971,5.602765,1,19.578800201416016,0.12967200577259064,60055.17449070001
8,2460053.7110764,123.7544948,5.6028047,2,18.98310089111328,0.09613200277090073,60053.21107639978
9,2460051.6930324,123.7545134,5.6027586,1,19.461599349975586,0.09440600126981735,60051.19303240022
10,2460051.6713426,123.7545257,5.6027484,2,18.937700271606445,0.06732500344514847,60051.17134260014
11,2460049.6918287,123.7545025,5.6027455,2,18.846599578857422,0.08310099691152573,60049.19182869978
12,2460045.73625,123.7545078,5.6027809,2,18.907400131225586,0.09183699637651443,60045.236250000075
13,2460045.6749306,123.7545024,5.6027602,1,19.174699783325195,0.08492600172758102,60045.174930599984
15,2460036.7900347,123.754542,5.6027874,1,18.7893009185791,0.15448200702667236,60036.290034700185
16,2460036.6922222,123.7545566,5.6027797,2,18.85540008544922,0.11965399980545044,60036.19222219987
17,2460031.6550463,123.7545129,5.6027534,2,18.87529945373535,0.0683550015091896,60031.15504630003
