,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460065.6921644,124.9200116,-3.2141394,2,18.80400848388672,0.13044792413711548,60065.19216440013
1,2460065.6739352,124.9200529,-3.2140525,1,19.774799346923828,0.29620298743247986,60065.17393520009
3,2460061.691412,124.920067,-3.2141147,2,18.625099182128906,0.10005000233650208,60061.191411999986
4,2460061.6822106,124.9199926,-3.2141381,1,19.013399124145508,0.1461549997329712,60061.1822106
5,2460059.6965162,124.9200526,-3.2141462,2,18.559999465942383,0.10430099815130234,60059.19651619997
6,2460059.6955787,124.9200998,-3.2141652,2,18.490800857543945,0.09908200055360794,60059.19557869993
7,2460059.6820486,124.9200316,-3.2141281,1,18.91200065612793,0.12011100351810455,60059.18204860017
8,2460059.6801273,124.9200526,-3.2141771,1,18.972700119018555,0.0986739993095398,60059.18012729986
9,2460057.7025579,124.9200307,-3.2141105,1,18.710399627685547,0.09914900362491608,60057.20255789999
10,2460057.6935417,124.9200562,-3.2141494,1,18.63409996032715,0.09032300114631653,60057.19354170002
11,2460057.679838,124.9200674,-3.2141458,2,18.518400192260742,0.07653799653053284,60057.179837999865
12,2460057.6715278,124.920046,-3.2141302,2,18.524200439453125,0.07275400310754776,60057.17152780015
13,2460055.7319907,124.9200271,-3.2141509,2,18.437999725341797,0.10213900357484818,60055.23199070012
14,2460055.6926852,124.9200648,-3.2141184,2,18.463499069213867,0.08697699755430222,60055.1926851999
15,2460055.6735532,124.9200692,-3.2141381,1,18.41320037841797,0.08062099665403366,60055.17355319997
16,2460053.7700694,124.9200909,-3.2143323,1,18.57379913330078,0.35521700978279114,60053.27006939985
17,2460053.6935069,124.9200549,-3.2141602,2,18.314699172973633,0.07366900146007538,60053.19350690022
18,2460052.7442014,124.920026,-3.2141294,1,18.134199142456055,0.08306699991226196,60052.24420139985
19,2460051.6920833,124.9200806,-3.2141156,1,18.07159996032715,0.07079099863767624,60051.19208330009
20,2460051.6699306,124.9200644,-3.2141511,2,18.11709976196289,0.05277799814939499,60051.169930600096
21,2460050.6903125,124.920034,-3.2141503,2,18.11199951171875,0.09116899967193604,60050.19031250011
22,2460049.6849074,124.9200717,-3.2141358,1,17.901399612426758,0.059321001172065735,60049.18490740005
23,2460045.7357755,124.9200603,-3.2141564,2,17.819299697875977,0.056922998279333115,60045.23577550007
24,2460045.7146065,124.9200313,-3.2141375,2,17.847999572753906,0.05617000162601471,60045.21460650023
25,2460045.6735185,124.9200448,-3.2141302,1,17.753999710083008,0.05227699875831604,60045.173518499825
26,2460045.6556366,124.9200775,-3.2141252,1,17.734100341796875,0.052696000784635544,60045.15563660022
27,2460043.7600347,124.9200541,-3.2141241,2,17.748899459838867,0.06701000034809113,60043.260034699924
28,2460043.6547801,124.9200362,-3.2141149,1,17.692800521850586,0.051858000457286835,60043.1547801001
29,2460036.7914468,124.9200516,-3.2141082,1,18.106199264526367,0.1176069974899292,60036.29144679988
30,2460036.7905093,124.9200822,-3.2141412,1,18.110700607299805,0.10444899648427963,60036.29050929984
31,2460036.6926968,124.9200534,-3.2141426,2,18.229700088500977,0.0652879998087883,60036.19269679999
32,2460036.6912731,124.9200542,-3.2141246,2,18.225200653076172,0.08372499793767929,60036.19127310021
33,2460031.6707407,124.9200446,-3.2141438,1,19.607200622558594,0.14448599517345428,60031.17074069986
34,2460031.6545718,124.9200479,-3.2141411,2,19.75979995727539,0.16606999933719635,60031.15457180003
35,2460030.6706019,124.9200504,-3.2141061,2,20.20870018005371,0.1792220026254654,60030.1706019002
