,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460090.8018403,215.0679196,28.3066185,2,20.282482147216797,0.2154606431722641,60090.301840300206
3,2460088.8216782,215.0678488,28.3065574,1,21.25429916381836,0.42945098876953125,60088.321678199805
5,2460088.7469676,215.0678301,28.3065507,2,20.048200607299805,0.2137479931116104,60088.24696760019
7,2460086.8284144,215.0678644,28.3065679,2,20.094900131225586,0.18346700072288513,60086.32841440011
9,2460086.7523032,215.0679734,28.3065899,1,21.103900909423828,0.3658770024776459,60086.25230319984
12,2460084.7807292,215.0677959,28.3065821,2,19.962600708007812,0.16708700358867645,60084.280729200225
14,2460082.8844097,215.0678836,28.3062518,1,20.75629997253418,0.3265079855918884,60082.384409700055
15,2460082.8714236,215.0678094,28.306555,2,19.842199325561523,0.19951499998569489,60082.371423599776
16,2460082.8528356,215.0679055,28.3065625,2,19.887699127197266,0.20386800169944763,60082.3528355998
18,2460080.7790972,215.0678591,28.3065418,1,20.61989974975586,0.26838698983192444,60080.279097199906
19,2460080.7781481,215.0678886,28.3065071,1,20.294200897216797,0.2393610030412674,60080.27814809978
20,2460078.8426736,215.0679333,28.3065562,1,20.272300720214844,0.20335400104522705,60078.342673600186
21,2460078.8282176,215.0677865,28.3065286,1,20.499399185180664,0.23092299699783325,60078.32821760001
22,2460078.7855556,215.0678048,28.3065508,2,19.96820068359375,0.14998100697994232,60078.28555560019
24,2460076.895787,215.0678658,28.3065184,1,20.161300659179688,0.19449099898338318,60076.39578700019
27,2460076.8446644,215.0678137,28.3065309,2,20.07379913330078,0.18637099862098694,60076.34466439998
29,2460067.8619676,215.0679087,28.3062982,2,19.805200576782227,0.3889009952545166,60067.36196759995
31,2460064.814537,215.0678755,28.3065179,2,19.32069969177246,0.15369999408721924,60064.31453699991
32,2460064.7615972,215.0679377,28.3063773,1,19.438100814819336,0.21181899309158325,60064.26159719983
33,2460064.7606366,215.0679191,28.3065246,1,19.486000061035156,0.16271500289440155,60064.2606366002
34,2460062.9254398,215.067923,28.3065151,1,19.34040069580078,0.11050999909639359,60062.425439800136
35,2460062.9249653,215.0678132,28.3065161,1,19.33329963684082,0.14145900309085846,60062.42496530013
36,2460062.8800231,215.0678456,28.3065247,2,19.287799835205078,0.10740099847316742,60062.38002309995
38,2460060.8821528,215.0678827,28.3065373,1,19.41550064086914,0.14087599515914917,60060.38215279998
39,2460060.8807407,215.0678806,28.3064887,1,19.419200897216797,0.14479899406433105,60060.380740699824
40,2460060.829919,215.0678925,28.3065259,2,19.5310001373291,0.14524100720882416,60060.329919000156
41,2460060.8169329,215.0678526,28.3065713,2,19.242399215698242,0.11074700206518173,60060.31693289988
42,2460058.8818171,215.067864,28.3064805,2,19.235000610351562,0.12718500196933746,60058.381817100104
43,2460058.8609838,215.0678163,28.3064836,2,19.218900680541992,0.11535599827766418,60058.36098380014
44,2460058.8344444,215.067899,28.3065326,1,19.316999435424805,0.1032629981637001,60058.33444439992
45,2460058.8300463,215.0678503,28.3065271,1,19.236099243164062,0.1251160055398941,60058.330046299845
46,2460056.9317245,215.0679014,28.3065428,1,19.2273006439209,0.09847799688577652,60056.43172449991
47,2460056.8308681,215.0678122,28.3065784,2,19.23419952392578,0.12739400565624237,60056.330868099816
48,2460056.8298843,215.0678982,28.3065052,2,19.208599090576172,0.12004200369119644,60056.32988430001
49,2460056.7849074,215.0678765,28.3065095,1,19.2185001373291,0.1340090036392212,60056.28490740014
50,2460054.8593519,215.0679175,28.3065647,1,19.14389991760254,0.11288200318813324,60054.35935189994
51,2460054.8511111,215.0678116,28.3065312,1,19.178800582885742,0.13000699877738953,60054.351111100055
52,2460054.820544,215.0679135,28.3065164,2,19.259899139404297,0.13741299510002136,60054.320543999784
53,2460054.8001852,215.0678625,28.3065151,2,19.217899322509766,0.13259899616241455,60054.30018519983
54,2460052.8585301,215.067805,28.3064567,1,19.29400062561035,0.1293649971485138,60052.35853009997
55,2460052.8522106,215.0679277,28.3064994,1,19.190500259399414,0.133652001619339,60052.35221059993
56,2460052.8257407,215.0678697,28.3065409,2,19.272600173950195,0.11074899882078171,60052.32574070012
57,2460050.8835995,215.0678991,28.3065383,2,19.5531005859375,0.12339100241661072,60050.38359950017
58,2460050.8753472,215.0678788,28.3064996,1,19.313899993896484,0.11739499866962433,60050.37534719985
59,2460050.8589468,215.0679305,28.3065461,1,19.31760025024414,0.09716600179672241,60050.35894680023
60,2460050.8306134,215.06789,28.3065235,2,19.44409942626953,0.1401360034942627,60050.330613399856
61,2460046.853206,215.0678539,28.3064966,2,20.046199798583984,0.18970899283885956,60046.353205999825
62,2460046.7970255,215.0678961,28.3064956,1,19.7992000579834,0.1455399990081787,60046.297025499865
63,2460046.7766782,215.0678804,28.3065444,1,19.784099578857422,0.16131800413131714,60046.27667819988
65,2460044.8269907,215.0679535,28.3064832,1,19.97369956970215,0.2374649941921234,60044.32699069986
66,2460044.7894792,215.0678487,28.3064248,2,20.303199768066406,0.2865949869155884,60044.2894791998
67,2460044.779456,215.0678622,28.3066062,2,20.44860076904297,0.2848460078239441,60044.279455999844
