,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460063.9334028,229.3590541,27.2031286,1,19.731714248657227,0.1803230494260788,60063.4334028
1,2460063.9028819,229.3590936,27.2031001,2,19.564800262451172,0.13645100593566895,60063.40288189985
3,2460061.9438426,229.3590803,27.2030468,2,19.509300231933594,0.17202800512313843,60061.4438426001
5,2460061.8662037,229.3590842,27.2031239,1,19.727500915527344,0.15479399263858795,60061.36620370019
6,2460061.8662037,229.3590842,27.2031239,1,19.727500915527344,0.15479399263858795,60061.36620370019
7,2460061.8239699,229.3590391,27.2030934,2,19.262500762939453,0.11497200280427933,60061.32396990014
8,2460059.9257176,229.3589984,27.2030726,2,19.367700576782227,0.15338100492954254,60059.425717600156
9,2460059.9252431,229.3591012,27.2030297,2,19.399599075317383,0.16778899729251862,60059.42524310015
10,2460059.8696412,229.3591451,27.20311,1,19.521799087524414,0.15204399824142456,60059.369641200174
14,2460057.840162,229.3590929,27.2031278,1,19.40180015563965,0.13200199604034424,60057.34016200015
16,2460055.9434144,229.3590825,27.2031265,1,19.433300018310547,0.12532800436019897,60055.443414399866
19,2460055.8887269,229.3590586,27.2031292,2,19.279800415039062,0.11989399790763855,60055.388726899866
22,2460052.9505324,229.3590547,27.2030994,2,19.495899200439453,0.15155300498008728,60052.45053240005
24,2460050.9650116,229.3591305,27.2031722,1,19.745100021362305,0.1372770071029663,60050.46501159994
26,2460050.8803009,229.3590457,27.2031216,2,19.612199783325195,0.14133000373840332,60050.38030089997
29,2460046.8101157,229.3591269,27.2031388,1,20.351699829101562,0.18364199995994568,60046.31011570012
