,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460103.7381366,167.2989764,53.3621373,1,19.619659423828125,0.15889522433280945,60103.23813659977
2,2460101.6989699,167.2990386,53.3620969,1,19.62459945678711,0.17206700146198273,60101.19896990014
5,2460097.7200463,167.2989335,53.3622132,2,18.51099967956543,0.0810059979557991,60097.220046299975
8,2460092.7459722,167.2989072,53.3622052,1,19.416000366210938,0.11312399804592133,60092.24597219983
9,2460090.6788542,167.2989364,53.3621814,2,18.43239974975586,0.07763899862766266,60090.17885420006
10,2460088.7862037,167.2990081,53.3622002,1,19.17799949645996,0.11145500093698502,60088.28620370012
12,2460086.8032176,167.2989138,53.3621995,1,19.156400680541992,0.1060819998383522,60086.3032176001
13,2460086.7246644,167.2988878,53.3621821,1,19.15850067138672,0.07877200096845627,60086.224664399866
14,2460086.6787731,167.2989324,53.3621833,2,18.392099380493164,0.0990540012717247,60086.17877310002
16,2460084.6826968,167.2988983,53.3621971,1,19.07069969177246,0.0959940031170845,60084.18269680021
18,2460080.7641088,167.2989689,53.3621882,1,18.934799194335938,0.08977299928665161,60080.26410879986
19,2460078.8234491,167.2989102,53.3621669,1,18.790700912475586,0.07203000038862228,60078.3234490999
21,2460076.8538194,167.2988919,53.3622125,2,18.233800888061523,0.0654980018734932,60076.35381940007
22,2460076.7913773,167.2989065,53.362207,1,18.83009910583496,0.09433300048112869,60076.29137729993
23,2460065.820463,167.2989464,53.3621996,1,18.423799514770508,0.07190600037574768,60065.320462999865
24,2460065.699375,167.2988832,53.3622086,2,18.16950035095215,0.06187399849295616,60065.19937499985
25,2460063.7511806,167.2989067,53.362192,2,18.214599609375,0.06053600087761879,60063.25118059991
26,2460063.6728241,167.2989217,53.3621925,1,18.445199966430664,0.06459800153970718,60063.172824100126
28,2460061.6749884,167.2988974,53.362204,1,18.488500595092773,0.0667010024189949,60061.17498840019
29,2460059.8222222,167.2989314,53.3621875,1,18.457300186157227,0.06906600296497345,60059.32222220022
30,2460059.7026968,167.2989319,53.3621912,2,18.40169906616211,0.07344499975442886,60059.20269680023
31,2460057.7176968,167.2989174,53.3621872,1,18.601299285888672,0.07441599667072296,60057.2176967999
33,2460055.7816088,167.2989483,53.3621638,1,18.79450035095215,0.07901199907064438,60055.28160879994
34,2460055.7190162,167.2990073,53.3622188,2,18.82270050048828,0.09996999800205231,60055.21901619993
35,2460053.8067245,167.2990195,53.3622088,1,19.837499618530273,0.17213399708271027,60053.30672449991
