,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460093.8849884,244.6758196,71.7480132,2,20.277175903320312,0.19371788203716278,60093.384988400154
3,2460092.7625579,244.6758743,71.7479479,2,20.356300354003906,0.18742099404335022,60092.262557900045
5,2460088.8853935,244.6757924,71.7479791,2,20.06559944152832,0.17322300374507904,60088.38539349986
7,2460086.8865162,244.6759515,71.7479691,2,20.169200897216797,0.14888900518417358,60086.38651619991
9,2460084.912581,244.6760212,71.7479465,2,19.812299728393555,0.18460799753665924,60084.41258100001
12,2460082.8669329,244.6758267,71.747982,2,19.663000106811523,0.11570300161838531,60082.36693290016
13,2460080.7832292,244.6758526,71.7479439,1,20.273099899291992,0.21852800250053406,60080.28322920017
14,2460078.930463,244.6759598,71.7479708,2,19.44219970703125,0.1074410006403923,60078.4304630002
15,2460078.8458449,244.6760168,71.7480141,1,20.070199966430664,0.13323600590229034,60078.34584489977
16,2460076.8878009,244.6757671,71.7479857,1,19.867900848388672,0.21551799774169922,60076.3878008998
17,2460076.8681944,244.6758093,71.7480252,2,19.44890022277832,0.14321500062942505,60076.36819439987
18,2460067.9151736,244.6758363,71.748029,2,19.531700134277344,0.23060299456119537,60067.41517359996
20,2460063.9276968,244.6761304,71.7480489,1,20.3966007232666,0.23176099359989166,60063.42769679986
27,2460055.9241667,244.6758157,71.7480339,1,20.42609977722168,0.24350300431251526,60055.42416669987
28,2460053.9313657,244.6760502,71.7480692,2,19.653400421142578,0.16230100393295288,60053.43136569997
29,2460053.8903704,244.6760872,71.7479882,1,19.56439971923828,0.16608400642871857,60053.39037040016
