,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460115.7289468,167.4427451,11.1925161,2,17.99852752685547,0.05395929887890816,60115.22894679988
1,2460113.7154977,167.4427507,11.1925449,2,17.91990089416504,0.062456000596284866,60113.21549770003
2,2460111.7446644,167.4427234,11.1925636,1,18.55940055847168,0.11464399844408035,60111.244664399885
3,2460105.7366204,167.4427425,11.1925459,2,17.815099716186523,0.058851998299360275,60105.2366204001
4,2460105.7156019,167.442748,11.1925386,1,18.076400756835938,0.07388400286436081,60105.21560190013
5,2460103.6973611,167.4427426,11.1925384,2,17.775699615478516,0.05659399926662445,60103.1973611
6,2460101.7046759,167.4427642,11.1925011,1,17.730199813842773,0.07408300042152405,60101.20467589982
8,2460099.6934144,167.442736,11.1925207,1,17.53860092163086,0.09352099895477295,60099.193414399866
9,2460097.6944097,167.4427452,11.1925463,2,17.508800506591797,0.051986999809741974,60097.19440970011
10,2460090.6813079,167.4427511,11.192524,2,17.094499588012695,0.03961699828505516,60090.18130790023
11,2460088.788588,167.4427611,11.1925352,1,16.89080047607422,0.046254999935626984,60088.288587999996
12,2460088.7365625,167.4427524,11.1925369,2,17.02359962463379,0.03898400068283081,60088.23656249978
13,2460086.81,167.4427643,11.192524,1,16.83169937133789,0.054179999977350235,60086.310000000056
14,2460086.7210417,167.4427367,11.1925149,1,16.856700897216797,0.03685300052165985,60086.22104169987
15,2460086.7133333,167.4427625,11.1925534,1,16.835599899291992,0.047589000314474106,60086.21333329985
17,2460086.6654398,167.4427504,11.1925479,2,16.9768009185791,0.05187800154089928,60086.165439799894
18,2460084.6914468,167.4427453,11.1925354,2,16.98509979248047,0.048705000430345535,60084.191446799785
19,2460084.6870486,167.4427555,11.1925411,1,16.804399490356445,0.04741799831390381,60084.187048600055
20,2460082.7418403,167.4427609,11.192557,1,16.819599151611328,0.06987400352954865,60082.24184030015
21,2460082.6770833,167.442732,11.192554,2,17.059499740600586,0.046463001519441605,60082.17708329996
22,2460080.7472222,167.4427626,11.1925479,1,16.938100814819336,0.058761999011039734,60080.247222200036
23,2460077.7906944,167.4427508,11.1925385,1,17.190000534057617,0.062116000801324844,60077.2906944002
24,2460077.7132292,167.4427459,11.1925292,2,17.353599548339844,0.042826998978853226,60077.21322919987
25,2460073.8389583,167.442747,11.1925551,1,17.91080093383789,0.0968639999628067,60073.338958300184
26,2460073.6908218,167.442743,11.1925389,2,18.10070037841797,0.06503300368785858,60073.190821799915
