,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460088.8120718,220.2333692,-2.9359538,1,20.031763076782227,0.1463395357131958,60088.31207180023
1,2460088.7464352,220.2334317,-2.9359743,2,19.91029930114746,0.12216600030660629,60088.246435199864
2,2460086.8414815,220.2334073,-2.9359697,2,20.141000747680664,0.14782899618148804,60086.34148149984
3,2460086.7776852,220.2333294,-2.9359233,1,20.074199676513672,0.14831499755382538,60086.277685199864
5,2460084.778831,220.2333902,-2.9359857,2,19.958499908447266,0.13875800371170044,60084.278830999974
6,2460082.8542593,220.2334147,-2.9359146,2,19.915800094604492,0.18416699767112732,60082.354259300046
7,2460082.7506019,220.2333775,-2.9359365,1,19.96809959411621,0.1574469953775406,60082.25060189981
8,2460080.7724884,220.2333119,-2.9360385,1,19.85930061340332,0.14377400279045105,60080.272488399874
9,2460078.8301157,220.2333962,-2.9359827,1,20.01020050048828,0.1441749930381775,60078.33011570014
10,2460078.8101852,220.2334403,-2.9360241,2,20.167200088500977,0.15062099695205688,60078.31018520007
11,2460076.9139583,220.2333558,-2.9359929,1,20.097999572753906,0.19813400506973267,60076.413958299905
12,2460076.8259028,220.2334254,-2.9359349,2,20.236799240112305,0.19532500207424164,60076.325902800076
