,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460092.7615394,279.367598,69.944028,2,19.876873016357422,0.18972231447696686,60092.26153940009
4,2460089.9058102,279.3679333,69.9440788,1,20.064199447631836,0.22127600014209747,60089.40581020014
5,2460087.9489236,279.3678423,69.9440327,1,19.941099166870117,0.23469799757003784,60087.448923599906
6,2460087.8826042,279.3679528,69.9438956,2,19.4060001373291,0.15122100710868835,60087.38260419993
7,2460085.9445139,279.3679048,69.9439211,2,19.475000381469727,0.13806499540805817,60085.444513900205
8,2460085.8365972,279.3676761,69.9439712,1,19.673200607299805,0.16045300662517548,60085.33659720002
9,2460083.9615741,279.3679838,69.9439945,2,19.38719940185547,0.18854600191116333,60083.46157409996
10,2460083.9330556,279.3678537,69.9439627,1,19.586700439453125,0.1266700029373169,60083.43305560015
11,2460081.9071991,279.3678656,69.9439345,2,19.263399124145508,0.12753500044345856,60081.407199100126
12,2460081.8175926,279.3678465,69.9439274,1,19.570100784301758,0.13204200565814972,60081.317592599895
13,2460078.9098843,279.3680205,69.9439419,2,19.436100006103516,0.13693399727344513,60078.40988430008
14,2460078.8644329,279.3679488,69.9440193,1,19.774799346923828,0.1617860049009323,60078.36443290021
16,2460076.8863426,279.3677906,69.9440344,1,19.805299758911133,0.1486929953098297,60076.38634259999
