,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460115.7289468,166.7162425,12.3985137,2,19.61034393310547,0.15392525494098663,60115.22894679988
1,2460113.7154977,166.716244,12.3985852,2,19.60420036315918,0.1386370062828064,60113.21549770003
3,2460105.7366204,166.7162209,12.3985576,2,19.1471004486084,0.08845899999141693,60105.2366204001
4,2460105.7156019,166.7162063,12.3985505,1,19.344200134277344,0.1603890061378479,60105.21560190013
5,2460103.6973611,166.7162402,12.3985578,2,19.133699417114258,0.09055300056934357,60103.1973611
6,2460101.7046759,166.7161955,12.3985372,1,19.200599670410156,0.12134099751710892,60101.20467589982
8,2460099.6934144,166.7162099,12.3984723,1,19.026199340820312,0.24165700376033783,60099.193414399866
9,2460097.6944097,166.7162229,12.3985674,2,19.03339958190918,0.13013499975204468,60097.19440970011
10,2460090.6813079,166.7162042,12.3986261,2,19.283300399780273,0.12033600360155106,60090.18130790023
11,2460088.788588,166.7162087,12.3985581,1,19.399900436401367,0.15949499607086182,60088.288587999996
12,2460088.7365625,166.716218,12.3985384,2,19.542999267578125,0.11212600022554398,60088.23656249978
13,2460086.81,166.7161768,12.3986139,1,19.401500701904297,0.23723599314689636,60086.310000000056
14,2460086.7133333,166.7162213,12.3985342,1,19.67970085144043,0.1122789978981018,60086.21333329985
15,2460086.6654398,166.7162252,12.3985577,2,19.670400619506836,0.1387680023908615,60086.165439799894
16,2460084.6914468,166.7162143,12.3985195,2,20.085899353027344,0.16912800073623657,60084.191446799785
17,2460084.6870486,166.7161487,12.3985423,1,20.12529945373535,0.19380800426006317,60084.187048600055
