,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460137.7203241,204.7253174,0.759438,1,19.60626220703125,0.20840463042259216,60137.220324099995
1,2460134.7361921,204.7253787,0.7594918,1,19.45639991760254,0.1434209942817688,60134.236192100216
2,2460132.6959259,204.7253869,0.7594115,2,19.12299919128418,0.12301400303840637,60132.19592589978
3,2460127.7596296,204.7254526,0.759511,2,19.145000457763672,0.26243001222610474,60127.259629600216
4,2460127.6913194,204.7253646,0.7594817,1,19.106399536132812,0.1444370001554489,60127.19131939998
6,2460121.7493866,204.7253586,0.7594188,2,18.97610092163086,0.1385740041732788,60121.24938660022
7,2460121.7258102,204.7253889,0.7594385,1,18.95330047607422,0.12378200143575668,60121.225810199976
8,2460119.7426968,204.7253891,0.7594812,1,19.092100143432617,0.13689599931240082,60119.2426967998
9,2460119.7033796,204.7253927,0.7594523,2,19.063400268554688,0.1244719997048378,60119.20337959984
10,2460117.6901852,204.7253891,0.7594461,2,19.214099884033203,0.12282100319862366,60117.19018519996
11,2460115.7140394,204.7253657,0.7594196,2,19.539499282836914,0.15702399611473083,60115.21403940022
12,2460113.7884028,204.7254451,0.759439,1,19.991600036621094,0.2005860060453415,60113.28840279998
13,2460113.7337037,204.7253359,0.7594178,2,20.159400939941406,0.21054300665855408,60113.233703699894
