,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460162.8296528,298.3349411,63.2498779,2,20.244909286499023,0.19151820242404938,60162.329652800225
3,2460160.761713,298.3350048,63.2499516,2,20.068300247192383,0.23197999596595764,60160.261713000014
8,2460152.7451505,298.3349728,63.2499334,2,19.725799560546875,0.16711600124835968,60152.24515049998
9,2460150.895162,298.3350624,63.2498463,2,19.639400482177734,0.11888699978590012,60150.395161999855
10,2460148.7883912,298.3349796,63.2498841,1,19.726499557495117,0.12157399952411652,60148.288391199894
11,2460148.7687384,298.3350152,63.2499083,2,19.499000549316406,0.11381900310516357,60148.26873840019
12,2460146.8502546,298.335003,63.2498688,2,19.521400451660156,0.09298299998044968,60146.350254599936
13,2460146.8129514,298.3349639,63.2499485,2,19.480199813842773,0.11025100201368332,60146.312951399945
14,2460144.8025694,298.3349957,63.249881,2,19.441699981689453,0.10507600009441376,60144.30256940005
15,2460144.7867593,298.3350021,63.249855,1,19.533700942993164,0.12143900245428085,60144.28675930016
17,2460140.8685648,298.3349364,63.2498702,1,19.37420082092285,0.10786999762058258,60140.368564799894
18,2460138.9056829,298.3349981,63.2498681,1,19.408599853515625,0.12862299382686615,60138.40568289999
19,2460138.8668519,298.3349913,63.2498844,2,19.245100021362305,0.09327299892902374,60138.36685189977
20,2460136.9530208,298.3349954,63.2498634,1,19.28700065612793,0.1092429980635643,60136.453020799905
21,2460136.9133912,298.335035,63.2498882,2,19.324399948120117,0.09402400255203247,60136.413391199894
22,2460134.9541551,298.3350524,63.2499001,2,19.508699417114258,0.1297300010919571,60134.454155100044
23,2460134.8832523,298.3349653,63.2498715,1,19.365299224853516,0.1159840002655983,60134.38325229986
