,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460943.7337847,333.7118101,16.2483767,2,20.039907455444336,0.1927436888217926,60943.23378469981
3,2460938.8451157,333.7117856,16.2483236,2,19.540700912475586,0.12291999906301498,60938.345115699805
9,2460928.8366204,333.7118537,16.2484129,1,19.513900756835938,0.21094700694084167,60928.336620400194
10,2460928.7204051,333.7117914,16.2483449,2,19.148399353027344,0.1476300060749054,60928.22040509991
11,2460926.8371181,333.7117916,16.2483976,1,19.43239974975586,0.2172120064496994,60926.33711809991
14,2460924.8221065,333.7117601,16.2484482,1,19.3523006439209,0.19913700222969055,60924.322106500156
15,2460922.903044,333.7117946,16.2483619,1,19.048099517822266,0.10091699659824371,60922.4030439998
17,2460920.8720139,333.7118126,16.2483653,2,18.722700119018555,0.08066000044345856,60920.37201389996
18,2460920.818669,333.7117619,16.2483541,1,18.74839973449707,0.07878000289201736,60920.318669000175
19,2460920.818669,333.7117619,16.2483541,1,18.74839973449707,0.07878000289201736,60920.318669000175
20,2460918.8480671,333.7117824,16.2483701,2,18.620100021362305,0.08827699720859528,60918.34806710016
21,2460918.812338,333.7117733,16.2483664,1,18.739900588989258,0.08115299791097641,60918.31233800016
22,2460916.849456,333.7117898,16.2483682,1,18.690099716186523,0.06934499740600586,60916.34945600014
23,2460916.7854282,333.7117984,16.2483613,2,18.59079933166504,0.07705599814653397,60916.28542819992
24,2460913.8240625,333.7117796,16.2483802,1,18.592500686645508,0.06476400047540665,60913.32406250015
25,2460913.7579977,333.7117772,16.248369,2,18.55229949951172,0.06236099824309349,60913.25799770001
26,2460911.8194792,333.7117809,16.2483542,2,18.617900848388672,0.08496999740600586,60911.31947920006
27,2460911.7634259,333.711782,16.2483647,1,18.597200393676758,0.07510200142860413,60911.263425900135
28,2460909.8073032,333.711782,16.2483589,1,18.691600799560547,0.07203499972820282,60909.30730320001
29,2460905.8402199,333.7117984,16.248362,2,19.353900909423828,0.13143399357795715,60905.34021990001
30,2460905.8173843,333.7117992,16.2483521,1,19.270299911499023,0.09023500233888626,60905.31738429982
31,2460903.8038542,333.7118515,16.2483568,2,19.80820083618164,0.11313600093126297,60903.30385420006
