,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460194.6747569,230.6551182,27.7526064,2,18.668977737426758,0.08632435649633408,60194.17475689994
1,2460194.6669329,230.6551125,27.7525967,1,18.734399795532227,0.09747900068759918,60194.16693289997
5,2460185.6598958,230.6551262,27.7526018,1,18.241100311279297,0.08095099776983261,60185.159895800054
6,2460183.7283565,230.655163,27.7526066,1,18.24839973449707,0.10260500013828278,60183.228356500156
7,2460183.6765162,230.6551057,27.7525587,2,18.394399642944336,0.08381599932909012,60183.17651619995
8,2460181.7301736,230.6550907,27.752538,2,18.47559928894043,0.09966400265693665,60181.230173599906
9,2460181.6941551,230.6551148,27.7525663,1,18.321199417114258,0.08370699733495712,60181.1941550998
10,2460179.7081597,230.6551635,27.7526249,1,18.372299194335938,0.07832799851894379,60179.208159700036
12,2460173.6975,230.6551388,27.7525916,1,19.209999084472656,0.100443996489048,60173.19749999978
15,2460171.7012847,230.6551973,27.7525887,1,20.044300079345703,0.17012399435043335,60171.20128470007
