,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460212.7256597,327.9137712,8.8589695,1,20.067644119262695,0.21085558831691742,60212.22565970011
2,2460209.7566319,327.9137319,8.8589627,2,20.066299438476562,0.1625320017337799,60209.25663190009
3,2460206.7494792,327.9137274,8.8589657,1,19.874900817871094,0.09961000084877014,60206.249479200225
4,2460206.7109491,327.9137492,8.8589605,2,19.9419002532959,0.14881399273872375,60206.21094910009
5,2460204.8314236,327.9137353,8.8589996,1,19.900100708007812,0.12974999845027924,60204.331423600204
6,2460204.6872222,327.913747,8.8589857,2,19.971500396728516,0.13833099603652954,60204.18722219998
7,2460202.7344907,327.9136766,8.8589681,2,20.043500900268555,0.1817850023508072,60202.234490700066
8,2460202.7026389,327.9137384,8.8589655,1,19.821399688720703,0.12191600352525711,60202.20263889991
9,2460200.7545023,327.9137558,8.8589905,1,19.853300094604492,0.12771399319171906,60200.25450230017
10,2460200.7075231,327.9137524,8.8589602,2,19.9822998046875,0.18756000697612762,60200.20752310008
11,2460196.7671181,327.9137241,8.8590149,1,20.050399780273438,0.17919999361038208,60196.26711810008
12,2460196.7107639,327.9137672,8.8589906,2,20.29960060119629,0.1867000013589859,60196.210763900075
13,2460194.8446412,327.913765,8.8589935,2,20.47010040283203,0.2524290084838867,60194.3446411998
15,2460192.8427431,327.9136859,8.85896,1,20.516599655151367,0.23502099514007568,60192.34274310013
