,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460224.8936921,34.2189192,15.9591195,2,20.46119499206543,0.2105528563261032,60224.393692099955
3,2460222.9001968,34.2188877,15.9591555,2,20.097000122070312,0.1871650069952011,60222.40019680001
9,2460213.9745949,34.2189602,15.9590655,2,19.931900024414062,0.13930200040340424,60213.47459489992
10,2460213.8918056,34.2190161,15.9590642,1,20.575899124145508,0.3179279863834381,60213.39180559991
11,2460211.9523611,34.2189283,15.959132,2,19.76849937438965,0.14460399746894836,60211.45236109989
12,2460211.9027431,34.2190126,15.9590923,1,20.255599975585938,0.15606099367141724,60211.40274310019
13,2460207.9369213,34.2189971,15.9591171,1,19.977800369262695,0.11480499804019928,60207.4369212999
14,2460207.8628704,34.218974,15.9591013,2,19.552200317382812,0.12414799630641937,60207.36287039984
15,2460205.8837731,34.2189165,15.9590833,2,19.50279998779297,0.09730199724435806,60205.3837731001
16,2460205.8442014,34.2189479,15.959085,1,19.8302001953125,0.11501900106668472,60205.344201399945
17,2460202.9982292,34.2189795,15.9591042,2,19.443700790405273,0.157369002699852,60202.49822920002
18,2460202.9207523,34.2189698,15.9591158,1,19.704200744628906,0.13743700087070465,60202.42075229995
19,2460200.9820023,34.2189512,15.9591142,1,19.657800674438477,0.11314000189304352,60200.48200230021
20,2460200.9403472,34.2189584,15.9590884,2,19.30970001220703,0.11826799809932709,60200.440347199794
22,2460196.9716204,34.2189402,15.9591351,1,19.544700622558594,0.13497500121593475,60196.47162039997
23,2460196.9233102,34.2189514,15.9590847,2,19.37339973449707,0.09559199959039688,60196.42331020022
25,2460193.9615625,34.2189594,15.9590892,2,19.49720001220703,0.1524689942598343,60193.46156249987
26,2460193.8751389,34.2189262,15.9590602,1,19.597200393676758,0.17280200123786926,60193.37513889978
27,2460187.9621875,34.2189212,15.9590885,1,19.648300170898438,0.2761639952659607,60187.462187500205
30,2460185.9603472,34.2189587,15.9590314,1,20.158700942993164,0.2072809934616089,60185.46034719981
31,2460185.8620486,34.2189297,15.9591122,2,19.965700149536133,0.2043980062007904,60185.36204859987
