,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460212.6648264,278.3961567,30.3553685,2,19.950624465942383,0.16134677827358246,60212.16482640011
3,2460209.6527778,278.3962155,30.3552493,1,20.010900497436523,0.22752399742603302,60209.15277779987
4,2460209.6523148,278.3961361,30.3554632,1,20.27120018005371,0.22011399269104004,60209.15231479984
7,2460206.7348843,278.396155,30.3553767,1,19.87649917602539,0.15670500695705414,60206.2348842998
8,2460206.6742708,278.3961784,30.3553918,2,19.91830062866211,0.15266300737857819,60206.17427079985
9,2460205.6751389,278.3962833,30.3552262,2,19.976200103759766,0.165475994348526,60205.17513890006
10,2460205.6425579,278.3961676,30.355336,1,20.056900024414062,0.15241500735282898,60205.14255789993
11,2460204.7185417,278.3961308,30.3553908,1,19.847299575805664,0.14836199581623077,60204.21854169993
12,2460204.6620023,278.3961008,30.3553352,2,19.73069953918457,0.12236200273036957,60204.16200229991
15,2460202.6790856,278.3961447,30.3553588,1,20.02440071105957,0.18366800248622894,60202.17908560019
16,2460202.6622222,278.3961809,30.3552961,2,19.812999725341797,0.1374479979276657,60202.16222220007
17,2460201.6976273,278.3961481,30.3553443,1,19.734399795532227,0.1780100017786026,60201.19762729993
19,2460200.7148148,278.3961575,30.3553721,1,19.98579978942871,0.1677899956703186,60200.21481479984
20,2460200.6949653,278.3961216,30.3553173,2,19.81920051574707,0.1412840038537979,60200.19496530015
21,2460198.725544,278.3961325,30.355364,1,20.044200897216797,0.1557759940624237,60198.225544000044
22,2460198.7063079,278.3960951,30.3553357,1,20.035600662231445,0.16934500634670258,60198.20630790014
24,2460198.6719676,278.3961475,30.3553594,2,19.754600524902344,0.15227000415325165,60198.17196760001
27,2460195.671713,278.3961328,30.3553869,1,20.409900665283203,0.2709600031375885,60195.17171300016
28,2460195.6665046,278.3961552,30.3553287,1,20.329999923706055,0.20955200493335724,60195.166504600085
31,2460193.7457176,278.3961378,30.3553457,1,20.71109962463379,0.2810800075531006,60193.24571759999
