,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460242.0061806,125.2305198,25.6289385,2,19.41978645324707,0.13111287355422974,60241.5061805998
2,2460241.9612731,125.2304599,25.6289575,1,19.683900833129883,0.17224299907684326,60241.46127310023
5,2460238.9988426,125.2305366,25.6289611,2,19.12470054626465,0.08131200075149536,60238.4988425998
6,2460238.9425579,125.2305487,25.6289487,1,19.472900390625,0.13510000705718994,60238.44255790021
9,2460236.9850463,125.2305384,25.6289055,2,18.972299575805664,0.08854199945926666,60236.485046300106
11,2460236.931331,125.2305216,25.6289323,1,19.242399215698242,0.10853199660778046,60236.431330999825
12,2460234.9737731,125.2305511,25.6289246,1,19.13360023498535,0.08480499684810638,60234.47377309995
14,2460234.9319444,125.2305337,25.6289551,2,18.891599655151367,0.07722599804401398,60234.43194440007
16,2460232.9865509,125.2305576,25.6289332,2,18.826000213623047,0.07431499660015106,60232.486550900154
18,2460232.9502778,125.230521,25.6289386,1,19.19809913635254,0.09987100213766098,60232.450277800206
19,2460229.9975463,125.2306003,25.6289442,2,18.691699981689453,0.1274379938840866,60229.497546299826
20,2460229.9453241,125.2304993,25.6289864,1,19.002199172973633,0.18663400411605835,60229.44532410009
23,2460222.9879861,125.2305608,25.628903,2,18.690099716186523,0.1118369996547699,60222.487986099906
24,2460222.9681597,125.2305649,25.6290676,1,19.03030014038086,0.23448100686073303,60222.46815969981
29,2460220.9447106,125.2304593,25.6289344,1,18.993000030517578,0.19618700444698334,60220.44471060019
30,2460207.0151852,125.2305422,25.6289363,2,18.952083587646484,0.09071062505245209,60206.51518520014
31,2460207.0151852,125.2305422,25.6289363,2,18.95210075378418,0.09071099758148193,60206.51518520014
32,2460207.0127546,125.2305526,25.6289451,2,18.869901657104492,0.09226646274328232,60206.51275460003
33,2460207.0127546,125.2305526,25.6289451,2,18.86989974975586,0.09226600080728531,60206.51275460003
34,2460207.0103241,125.2305916,25.6289145,2,18.849899291992188,0.10095100104808807,60206.51032410003
35,2460207.0103241,125.2305916,25.6289145,2,18.849899291992188,0.10095100104808807,60206.51032410003
36,2460207.0078935,125.2305352,25.628972,2,18.990100860595703,0.10399100184440613,60206.50789349992
37,2460207.0054514,125.2305698,25.6289387,2,18.8572998046875,0.0878089964389801,60206.50545139983
38,2460206.0131481,125.2305211,25.6289694,2,18.94809913635254,0.08270200341939926,60205.513148100115
39,2460206.0106713,125.2305734,25.6289279,2,18.972200393676758,0.09657000005245209,60205.51067129988
40,2460206.0081944,125.2305514,25.6289887,2,18.9601993560791,0.08025500178337097,60205.5081944
41,2460206.005706,125.2305628,25.6289298,2,18.93670082092285,0.07963799685239792,60205.50570600014
42,2460206.0032292,125.2305404,25.6289265,2,18.978500366210938,0.09236200153827667,60205.50322919991
43,2460205.0139815,125.2305323,25.6289462,2,18.933500289916992,0.08664199709892273,60204.513981500175
44,2460205.0114005,125.2305433,25.6289715,2,18.923900604248047,0.09498400241136551,60204.51140049985
45,2460205.0088542,125.2305275,25.628953,2,18.930599212646484,0.07573000341653824,60204.50885420013
46,2460205.0063194,125.2305283,25.6289524,2,18.902999877929688,0.088687002658844,60204.50631939992
47,2460205.0037616,125.2305273,25.6289433,2,18.94379997253418,0.08631999790668488,60204.50376159977
48,2460204.0112616,125.2305529,25.6289498,2,18.975500106811523,0.1113710030913353,60203.51126160007
49,2460204.0087847,125.2305407,25.628958,2,19.03619956970215,0.10734199732542038,60203.508784700185
50,2460204.0063194,125.2305179,25.6289383,2,18.998600006103516,0.10189799964427948,60203.50631939992
51,2460204.0038542,125.230489,25.6288693,2,18.91830062866211,0.1166210025548935,60203.50385419978
52,2460204.0013773,125.2305525,25.6289507,2,18.945100784301758,0.111005999147892,60203.501377299894
53,2460203.0117361,125.2305134,25.6289454,2,18.9960994720459,0.1001880019903183,60202.511736100074
54,2460203.0093171,125.2305387,25.6289379,2,19.06999969482422,0.10690700262784958,60202.50931710005
55,2460203.0068981,125.2305375,25.6289126,2,19.02790069580078,0.09206999838352203,60202.50689810002
56,2460203.0044676,125.2305233,25.6289264,2,18.96310043334961,0.08204499632120132,60202.504467600025
57,2460203.002037,125.2305479,25.628919,2,19.14739990234375,0.10398499667644501,60202.50203699991
59,2460202.0094444,125.230503,25.6289432,2,19.05120086669922,0.11625000089406967,60201.5094444002
60,2460202.0070139,125.2305275,25.6289526,2,19.2903995513916,0.10850899666547775,60201.507013900205
61,2460202.0045833,125.2305281,25.6289766,2,19.176599502563477,0.09983599931001663,60201.50458330009
62,2460202.0021644,125.2305633,25.6289457,2,19.15690040588379,0.12894600629806519,60201.50216440018
