,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460238.7564931,339.0193647,20.7365956,1,20.49413299560547,0.19153064489364624,60238.256493099965
1,2460238.6701042,339.0194156,20.7365874,2,20.160200119018555,0.15768499672412872,60238.17010420002
2,2460236.7496644,339.0193654,20.7366631,1,20.162900924682617,0.17861799895763397,60236.24966439977
5,2460234.6658218,339.0193832,20.7365605,2,20.006200790405273,0.1399659961462021,60234.16582180001
6,2460232.7261111,339.0193163,20.7366167,1,20.124300003051758,0.13822899758815765,60232.226111100055
7,2460232.6796528,339.0194242,20.7365628,2,19.885700225830078,0.14185500144958496,60232.17965279985
8,2460230.8326852,339.0194431,20.7365451,2,19.93670082092285,0.21244299411773682,60230.33268520003
9,2460230.7608796,339.0194158,20.7365578,1,19.842199325561523,0.19299699366092682,60230.260879599955
10,2460227.8114352,339.0194221,20.736561,2,19.731399536132812,0.11700499802827835,60227.31143519981
11,2460227.727963,339.0193427,20.7365509,1,19.82080078125,0.16763000190258026,60227.22796300007
12,2460224.8656944,339.019368,20.736576,1,19.684600830078125,0.16602200269699097,60224.36569439992
13,2460224.8196296,339.0194301,20.7365544,2,19.776199340820312,0.12154600024223328,60224.319629599806
14,2460222.7352315,339.0193774,20.73661,2,19.849000930786133,0.17785300314426422,60222.23523150012
15,2460222.7121065,339.0193405,20.7365512,1,19.640399932861328,0.14723099768161774,60222.21210649982
16,2460220.8106134,339.0194103,20.736606,2,19.766199111938477,0.15401799976825714,60220.31061339984
17,2460220.7294792,339.0193364,20.7365455,1,19.813800811767578,0.16354900598526,60220.22947920021
19,2460216.681331,339.0194015,20.736662,2,19.802400588989258,0.2050510048866272,60216.181330999825
22,2460212.9076968,339.0194252,20.7366176,1,20.154600143432617,0.1837179958820343,60212.40769679984
