,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460239.7766435,352.0587834,-1.8511045,1,19.39035987854004,0.09107577800750732,60239.2766435002
1,2460237.7118866,352.0587754,-1.8511149,1,19.11989974975586,0.08888699859380722,60237.211886600126
4,2460235.6925579,352.058801,-1.8511006,1,18.946500778198242,0.07795800268650055,60235.19255790021
5,2460233.7141782,352.0587859,-1.8511222,1,18.78260040283203,0.0954279974102974,60233.21417819988
8,2460231.7191667,352.0587644,-1.8510951,1,18.64550018310547,0.07205700129270554,60231.2191666998
10,2460228.7492708,352.0587945,-1.8511082,1,18.458900451660156,0.06952100247144699,60228.249270800035
11,2460226.8401852,352.0587944,-1.8510993,1,18.39780044555664,0.06309299916028976,60226.340185199864
13,2460223.816794,352.0587889,-1.8510899,1,18.370899200439453,0.068743996322155,60223.3167940001
15,2460221.8597685,352.0588112,-1.8511158,1,18.41990089416504,0.07349099963903427,60221.359768500086
17,2460217.8209954,352.0587981,-1.8511398,2,18.743900299072266,0.12604700028896332,60217.320995400194
18,2460217.6416782,352.0587521,-1.8510825,1,18.76460075378418,0.18176299333572388,60217.1416782001
21,2460212.900625,352.0588174,-1.8511197,1,19.567800521850586,0.13324500620365143,60212.40062499978
