,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460238.6197454,263.8078505,27.5170941,2,19.54214096069336,0.15250788629055023,60238.1197453998
1,2460236.6337963,263.8078966,27.5171323,2,19.50079917907715,0.16923899948596954,60236.13379629981
2,2460236.6249653,263.8078126,27.5171693,1,19.677600860595703,0.16901400685310364,60236.12496529985
3,2460234.6750231,263.8077193,27.5171166,1,19.61359977722168,0.19200100004673004,60234.17502309987
5,2460232.6529745,263.80784,27.5171064,2,19.24799919128418,0.10789299756288528,60232.152974499855
7,2460230.6344213,263.8078207,27.5171391,1,19.275999069213867,0.11952999979257584,60230.13442130014
8,2460227.6575694,263.8078547,27.5171131,2,19.10300064086914,0.1314930021762848,60227.157569400035
9,2460224.6735764,263.8078188,27.5170915,2,19.094200134277344,0.12010300159454346,60224.17357640015
10,2460224.6447106,263.8078579,27.5171633,1,18.986900329589844,0.08519899845123291,60224.14471059991
11,2460222.6852778,263.8078259,27.5171772,1,18.981199264526367,0.12746499478816986,60222.185277800076
12,2460220.6939583,263.8078664,27.5171107,1,19.2406005859375,0.17424699664115906,60220.193958300166
13,2460216.7028588,263.8077516,27.5170546,1,19.279399871826172,0.256072998046875,60216.20285880007
16,2460214.6399074,263.8079704,27.5172055,1,19.77090072631836,0.269008994102478,60214.139907400124
