,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460239.9660301,70.351597,5.2737176,1,20.11769676208496,0.16965815424919128,60239.466030099895
1,2460239.9219792,70.3515314,5.273747,2,20.02680015563965,0.1367570012807846,60239.421979200095
2,2460237.9315046,70.3515271,5.2737433,1,19.866500854492188,0.16470900177955627,60237.431504600216
3,2460237.8588426,70.3515171,5.2737146,2,19.854799270629883,0.13081200420856476,60237.35884260014
4,2460235.9276505,70.3515744,5.2737775,2,19.806100845336914,0.13885100185871124,60235.42765050009
5,2460235.8820718,70.3515279,5.2737401,1,19.894100189208984,0.15954400599002838,60235.382071800064
6,2460233.9818287,70.3515668,5.2737485,2,19.737499237060547,0.14341799914836884,60233.48182869982
7,2460233.8995023,70.3515473,5.2737859,1,19.735300064086914,0.11858800053596497,60233.39950230019
8,2460231.9401852,70.3515702,5.2737184,1,19.793800354003906,0.17702600359916687,60231.44018519996
9,2460231.9046412,70.3515242,5.2737217,2,19.768299102783203,0.13841700553894043,60231.40464119986
10,2460228.9409491,70.351631,5.2736645,1,19.62420082092285,0.1700260043144226,60228.44094910007
11,2460226.0042477,70.3515329,5.2737428,2,19.60569953918457,0.13372400403022766,60225.504247699864
12,2460225.9227199,70.3515177,5.2737428,1,19.53510093688965,0.14224199950695038,60225.42271990003
13,2460223.9615972,70.3515173,5.2737334,2,19.660999298095703,0.16371600329875946,60223.46159720002
14,2460223.9202778,70.351512,5.273765,1,19.500099182128906,0.15414799749851227,60223.420277799945
18,2460216.9628009,70.3514307,5.2737267,1,19.828399658203125,0.355336993932724,60216.462800899986
